product_id,indication_id,evidence_text,mapping_method,source_id,confirmed
P000798,IND005,表淺性單純？疹角膜感染一樹形角膜炎（ＤＥＮＤＲＩＴＩＣ　ＫＥＲＡＴＩＴＩＳ）預防用ＣＯＲＴＩＣＯＩＤ治療盤狀角膜炎（ＫＥＲＡＴＩＴＩＳ　ＤＩＳＣＩＦＯＲＭＩＳ）時之複發性感染、疫苗性角膜感染,keyword_rule_v1,SRC001,true
P000799,IND003,結膜炎、角膜炎、虹膜炎、睫狀體炎、外物侵入造成之角膜傷害,keyword_rule_v1,SRC001,true
P000799,IND005,結膜炎、角膜炎、虹膜炎、睫狀體炎、外物侵入造成之角膜傷害,keyword_rule_v1,SRC001,true
P000800,IND003,結膜炎、角膜炎、虹膜炎、睫狀體炎、外物侵入造成之角膜傷害,keyword_rule_v1,SRC001,true
P000800,IND005,結膜炎、角膜炎、虹膜炎、睫狀體炎、外物侵入造成之角膜傷害,keyword_rule_v1,SRC001,true
P000801,IND004,治療原發性角開放性青光眼、急性閉鎖性青光眼手術前降低眼內壓,keyword_rule_v1,SRC001,true
P000801,IND015,治療原發性角開放性青光眼、急性閉鎖性青光眼手術前降低眼內壓,keyword_rule_v1,SRC001,true
P000802,IND004,治療原發性角開放性青光眼、急性閉鎖性青光眼手術前降低眼內壓,keyword_rule_v1,SRC001,true
P000802,IND015,治療原發性角開放性青光眼、急性閉鎖性青光眼手術前降低眼內壓,keyword_rule_v1,SRC001,true
P000803,IND004,慢性開放性隅角（ＯＰＥＮ－ＡＮＧＬＥ）青光眼,keyword_rule_v1,SRC001,true
P000804,IND012,用於眼睛囊內白內障摘除時溶解晶狀體小帶,keyword_rule_v1,SRC001,true
P000805,IND012,用於眼睛囊內白內障摘除時溶解晶狀體小帶,keyword_rule_v1,SRC001,true
P000806,IND012,老年性白內障、外傷性白內障,keyword_rule_v1,SRC001,true
P000807,IND003,原發性角膜潰瘍、角膜損傷、由酸、鹼物質引起之角膜灼傷、大泡性角膜炎、膿性角膜炎、？疹性角膜炎,keyword_rule_v1,SRC001,true
P000807,IND005,原發性角膜潰瘍、角膜損傷、由酸、鹼物質引起之角膜灼傷、大泡性角膜炎、膿性角膜炎、？疹性角膜炎,keyword_rule_v1,SRC001,true
P000807,IND009,原發性角膜潰瘍、角膜損傷、由酸、鹼物質引起之角膜灼傷、大泡性角膜炎、膿性角膜炎、？疹性角膜炎,keyword_rule_v1,SRC001,true
P000808,IND002,過敏性結膜炎,keyword_rule_v1,SRC001,true
P000808,IND003,過敏性結膜炎,keyword_rule_v1,SRC001,true
P000809,IND003,結膜炎、角膜炎、角膜潰瘍、瞼炎、淚囊炎,keyword_rule_v1,SRC001,true
P000809,IND005,結膜炎、角膜炎、角膜潰瘍、瞼炎、淚囊炎,keyword_rule_v1,SRC001,true
P000810,IND004,治療原發性角開放性青光眼、急性閉鎖性青光眼手術前降低眼內壓,keyword_rule_v1,SRC001,true
P000810,IND015,治療原發性角開放性青光眼、急性閉鎖性青光眼手術前降低眼內壓,keyword_rule_v1,SRC001,true
P000811,IND004,治療原發性房角開放性青光眼、急性閉鎖性青光眼手術前降低眼內壓,keyword_rule_v1,SRC001,true
P000811,IND015,治療原發性房角開放性青光眼、急性閉鎖性青光眼手術前降低眼內壓,keyword_rule_v1,SRC001,true
P000812,IND004,縮瞳劑用於控制慢性青光眼之眼壓,keyword_rule_v1,SRC001,true
P000812,IND007,縮瞳劑用於控制慢性青光眼之眼壓,keyword_rule_v1,SRC001,true
P000813,IND004,青光眼,keyword_rule_v1,SRC001,true
P000814,IND004,慢性單純青光眼,keyword_rule_v1,SRC001,true
P000815,IND004,縮瞳劑用於控制慢性青光眼之眼壓,keyword_rule_v1,SRC001,true
P000815,IND007,縮瞳劑用於控制慢性青光眼之眼壓,keyword_rule_v1,SRC001,true
P000816,IND008,適用於需要快速及短時間之眼科用表面麻醉劑,keyword_rule_v1,SRC001,true
P000817,IND999,瞳孔放大、睫狀肌痲痺,keyword_rule_v1,SRC001,false
P000818,IND003,眼睛感染及眼附屬器官的感染、對於一般抗生素有抗性的細菌感染症,keyword_rule_v1,SRC001,true
P000819,IND004,青光眼,keyword_rule_v1,SRC001,true
P000820,IND005,眼結膜、角膜及眼球前部，對皮質類固醇有效之炎症疾患,keyword_rule_v1,SRC001,true
P000821,IND006,散瞳及睫狀肌麻痺,keyword_rule_v1,SRC001,true
P000822,IND999,檢查眼睛時放大瞳孔及麻痺睫狀肌,keyword_rule_v1,SRC001,false
P000823,IND003,急、慢性結膜炎、眼瞼緣炎、角膜炎、虹膜睫狀體炎、臉緣潰瘍、角膜潰瘍、鞏膜結合性膜炎,keyword_rule_v1,SRC001,true
P000823,IND005,急、慢性結膜炎、眼瞼緣炎、角膜炎、虹膜睫狀體炎、臉緣潰瘍、角膜潰瘍、鞏膜結合性膜炎,keyword_rule_v1,SRC001,true
P000824,IND003,結膜炎，眼瞼炎，麥粒腫，角膜炎，角膜潰瘍,keyword_rule_v1,SRC001,true
P000824,IND005,結膜炎，眼瞼炎，麥粒腫，角膜炎，角膜潰瘍,keyword_rule_v1,SRC001,true
P000825,IND003,眼瞼炎、結膜炎,keyword_rule_v1,SRC001,true
P000826,IND003,眼睛疲勞、結膜充血、由紫外線及其他光線所引起之眼炎、結膜炎、淚囊炎、眼瞼緣炎,keyword_rule_v1,SRC001,true
P000826,IND010,眼睛疲勞、結膜充血、由紫外線及其他光線所引起之眼炎、結膜炎、淚囊炎、眼瞼緣炎,keyword_rule_v1,SRC001,true
P000826,IND011,眼睛疲勞、結膜充血、由紫外線及其他光線所引起之眼炎、結膜炎、淚囊炎、眼瞼緣炎,keyword_rule_v1,SRC001,true
P000827,IND003,眼瞼炎、淚囊炎、麥粒腫、結膜炎、角膜炎。,keyword_rule_v1,SRC001,true
P000827,IND005,眼瞼炎、淚囊炎、麥粒腫、結膜炎、角膜炎。,keyword_rule_v1,SRC001,true
P000828,IND003,急，慢性結膜炎，眼瞼緣炎，角膜潰瘍，虹膜睫狀體炎，眼瞼緣潰瘍，鞏膜炎，鞏膜結合膜炎,keyword_rule_v1,SRC001,true
P000828,IND005,急，慢性結膜炎，眼瞼緣炎，角膜潰瘍，虹膜睫狀體炎，眼瞼緣潰瘍，鞏膜炎，鞏膜結合膜炎,keyword_rule_v1,SRC001,true
P000829,IND003,治療因黴菌引起之瞼角炎、結膜炎及角膜炎。,keyword_rule_v1,SRC001,true
P000829,IND005,治療因黴菌引起之瞼角炎、結膜炎及角膜炎。,keyword_rule_v1,SRC001,true
P000829,IND014,治療因黴菌引起之瞼角炎、結膜炎及角膜炎。,keyword_rule_v1,SRC001,true
P000830,IND004,慢性開放性青光眼，高眼壓之眼內壓控制,keyword_rule_v1,SRC001,true
P000831,IND003,角膜炎、結膜炎、外鞏膜炎、手術後角膜炎,keyword_rule_v1,SRC001,true
P000831,IND005,角膜炎、結膜炎、外鞏膜炎、手術後角膜炎,keyword_rule_v1,SRC001,true
P000831,IND015,角膜炎、結膜炎、外鞏膜炎、手術後角膜炎,keyword_rule_v1,SRC001,true
P000832,IND003,砂眼、濾過性及類似濾過性病原體所引起之眼疾,keyword_rule_v1,SRC001,true
P000833,IND004,青光眼,keyword_rule_v1,SRC001,true
P000834,IND003,結膜炎、角膜炎、眼充血、淚囊炎、外傷性眼炎、麥粒腫,keyword_rule_v1,SRC001,true
P000834,IND005,結膜炎、角膜炎、眼充血、淚囊炎、外傷性眼炎、麥粒腫,keyword_rule_v1,SRC001,true
P000834,IND011,結膜炎、角膜炎、眼充血、淚囊炎、外傷性眼炎、麥粒腫,keyword_rule_v1,SRC001,true
