product_substance_id,product_id,substance_id,raw_name,standardized_name,chinese_name,english_name,salt_ester_hydrate_form,base_substance_group,amount_raw,amount,unit,role,formulation_function,role_assignment_method,source_id,confirmed
PS-P001158-001,P001158,S00299,SODIUM CARBOXYMETHYLCELLULOSE (TYPE 7H3SXF10-15),SODIUM CARBOXYMETHYLCELLULOSE (TYPE 7H3SXF10-15),,SODIUM CARBOXYMETHYLCELLULOSE (TYPE 7H3SXF10-15),SODIUM CARBOXYMETHYLCELLULOSE (TYPE 7H3SXF10-15),CARBOXYMETHYLCELLULOSE,,1.750000,MG,viscosity_agent,黏度調節劑,rule_based,SRC002,false
PS-P001158-002,P001158,S00300,SODIUM CARBOXYMETHYLCELLULOSE (TYPE 7M8SFPH),SODIUM CARBOXYMETHYLCELLULOSE (TYPE 7M8SFPH),,SODIUM CARBOXYMETHYLCELLULOSE (TYPE 7M8SFPH),SODIUM CARBOXYMETHYLCELLULOSE (TYPE 7M8SFPH),CARBOXYMETHYLCELLULOSE,,3.250000,MG,viscosity_agent,黏度調節劑,rule_based,SRC002,false
PS-P001158-003,P001158,S00152,GLYCERIN (eq to GLYCEROL),GLYCERIN (EQ TO GLYCEROL),,GLYCERIN (EQ TO GLYCEROL),GLYCERIN (EQ TO GLYCEROL),GLYCERIN,,9.000000,MG,other_excipient,其他賦形劑,rule_based,SRC002,false
PS-P001159-001,P001159,S00340,TRAVOPROST,TRAVOPROST,,TRAVOPROST,TRAVOPROST,TRAVOPROST,,0.040000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001159-002,P001159,S00331,TIMOLOL,TIMOLOL,,TIMOLOL,TIMOLOL,TIMOLOL,(as Timolol Maleate 6.8mg),5.000000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001160-001,P001160,S00335,TOBRAMYCIN,TOBRAMYCIN,,TOBRAMYCIN,TOBRAMYCIN,TOBRAMYCIN,,3.000000,,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001161-001,P001161,S00227,NEPAFENAC,NEPAFENAC,,NEPAFENAC,NEPAFENAC,NEPAFENAC,,1.000000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001162-001,P001162,S00232,OLOPATADINE HYDROCHLORIDE,OLOPATADINE HYDROCHLORIDE,,OLOPATADINE HYDROCHLORIDE,OLOPATADINE HYDROCHLORIDE,OLOPATADINE HYDROCHLORIDE,(=Olopatadine 2mg),2.220000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P000011-001,P000011,S00081,CORTISONE ACETATE,CORTISONE ACETATE,,CORTISONE ACETATE,CORTISONE ACETATE,CORTISONE ACETATE,0.50,0.500000,GM,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P000027-001,P000027,S00326,TETRACYCLINE HCL (EQ TO TETRACYCLINE HYDROCHLORIDE),TETRACYCLINE HCL (EQ TO TETRACYCLINE HYDROCHLORIDE),,TETRACYCLINE HCL (EQ TO TETRACYCLINE HYDROCHLORIDE),TETRACYCLINE HCL (EQ TO TETRACYCLINE HYDROCHLORIDE),TETRACYCLINE HCL,,0.010000,GM,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P000028-001,P000028,S00024,BACITRACIN,BACITRACIN,,BACITRACIN,BACITRACIN,BACITRACIN,,500.000000,U (UNIT),active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P000028-002,P000028,S00225,NEOMYCIN SULFATE,NEOMYCIN SULFATE,,NEOMYCIN SULFATE,NEOMYCIN SULFATE,NEOMYCIN,,5.000000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P000029-001,P000029,S00239,OXYTETRACYCLINE HCL,OXYTETRACYCLINE HCL,,OXYTETRACYCLINE HCL,OXYTETRACYCLINE HCL,OXYTETRACYCLINE HCL,(CRYST) 17.5,,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P000029-002,P000029,S00260,POLYMYXIN B SULFATE,POLYMYXIN B SULFATE,,POLYMYXIN B SULFATE,POLYMYXIN B SULFATE,POLYMYXIN B SULFATE,35000,35000.000000,U (UNIT),active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P000030-001,P000030,S00067,CHLORTETRACYCLINE HCL,CHLORTETRACYCLINE HCL,,CHLORTETRACYCLINE HCL,CHLORTETRACYCLINE HCL,CHLORTETRACYCLINE HCL,(CRYST) 0.035,,GM,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001293-001,P001293,S00171,HYPROMELLOSE,HYPROMELLOSE,,HYPROMELLOSE,HYPROMELLOSE,HYPROMELLOSE,,5.000000,MG,viscosity_agent,黏度調節劑,rule_based,SRC002,false
PS-P001293-002,P001293,S00301,SODIUM CHLORIDE,SODIUM CHLORIDE,,SODIUM CHLORIDE,SODIUM CHLORIDE,SODIUM CHLORIDE,,1.000000,MG,tonicity_agent,等張調節劑,rule_based,SRC002,false
PS-P001293-003,P001293,S00266,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,,1.500000,MG,tonicity_agent,等張調節劑,rule_based,SRC002,false
PS-P001294-001,P001294,S00171,HYPROMELLOSE,HYPROMELLOSE,,HYPROMELLOSE,HYPROMELLOSE,HYPROMELLOSE,,5.000000,MG,viscosity_agent,黏度調節劑,rule_based,SRC002,false
PS-P001294-002,P001294,S00301,SODIUM CHLORIDE,SODIUM CHLORIDE,,SODIUM CHLORIDE,SODIUM CHLORIDE,SODIUM CHLORIDE,,1.000000,MG,tonicity_agent,等張調節劑,rule_based,SRC002,false
PS-P001294-003,P001294,S00266,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,,1.500000,MG,tonicity_agent,等張調節劑,rule_based,SRC002,false
PS-P001295-001,P001295,S00069,CHONDROITIN SULFATE SODIUM (EQ TO SODIUM CHONDROITIN SULFATE ),CHONDROITIN SULFATE SODIUM (EQ TO SODIUM CHONDROITIN SULFATE ),,CHONDROITIN SULFATE SODIUM (EQ TO SODIUM CHONDROITIN SULFATE ),CHONDROITIN SULFATE SODIUM (EQ TO SODIUM CHONDROITIN SULFATE ),CHONDROITIN SULFATE,,5.000000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001295-002,P001295,S00266,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,,0.800000,MG,tonicity_agent,等張調節劑,rule_based,SRC002,false
PS-P001295-003,P001295,S00301,SODIUM CHLORIDE,SODIUM CHLORIDE,,SODIUM CHLORIDE,SODIUM CHLORIDE,SODIUM CHLORIDE,,4.400000,MG,tonicity_agent,等張調節劑,rule_based,SRC002,false
PS-P001295-004,P001295,S00292,SODIUM BICARBONATE ( EQ TO SODIUM HYDROGEN CARBONATE),SODIUM BICARBONATE ( EQ TO SODIUM HYDROGEN CARBONATE),,SODIUM BICARBONATE ( EQ TO SODIUM HYDROGEN CARBONATE),SODIUM BICARBONATE ( EQ TO SODIUM HYDROGEN CARBONATE),SODIUM BICARBONATE,,0.500000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P001296-001,P001296,S00054,CARBOXYMETHYLCELLULOSE SODIUM (EQ TO SODIUM CARBOXYMETHYLCELLULOSE),CARBOXYMETHYLCELLULOSE SODIUM (EQ TO SODIUM CARBOXYMETHYLCELLULOSE),,CARBOXYMETHYLCELLULOSE SODIUM (EQ TO SODIUM CARBOXYMETHYLCELLULOSE),CARBOXYMETHYLCELLULOSE SODIUM (EQ TO SODIUM CARBOXYMETHYLCELLULOSE),CARBOXYMETHYLCELLULOSE,(Type 7LFPH),5.000000,MG,viscosity_agent,黏度調節劑,rule_based,SRC002,false
