product_id,license_number,chinese_name,english_name,dosage_form_raw,dosage_form_normalized,route_raw,route_normalized,ophthalmic_inclusion_evidence,legal_category,therapeutic_class,applicant,manufacturer,indication_raw,license_status,license_expiry_date,status_checked_at,default_include_in_search,default_include_in_statistics,preservative_free_status,preservative_free_evidence,source_id,verified_at
P000892,衛署藥輸字第018602號,點必舒眼用懸浮液,TOBRADEX STERILE OPHTHALMIC SUSPENSION,點眼懸液劑,ophthalmic_suspension,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,dexamethasone and antiinfectives,瑞士商愛爾康大藥廠股份有限公司台灣分公司,"ALCON LABORATORIES, INC. | ALCON RESEARCH LTD.",對類固醇具有感受性之眼部疾患,註銷,2021/05/09,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000893,衛署藥輸字第018605號,第一眼藥水,DAIICHI EYE-LOTION COOL,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,醫師藥師藥劑生指示藥品,"naphazoline, combinations",中榮貿易股份有限公司,"TEIKA PHARMACEUTICAL CO.,LTD.",暫時緩解因輕微眼部刺激所引起之不適或眼睛紅、眼睛癢、眼睛疲勞。,有效,2028/06/01,2026-07-10,true,true,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000894,衛署藥輸字第018617號,點必舒眼用懸浮液,TOBRADEX OPHTHALMIC SUSPENSION,點眼懸液劑,ophthalmic_suspension,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,dexamethasone and antiinfectives,台灣諾華股份有限公司,NOVARTIS MANUFACTURING NV,對類固醇具有感受性之眼部疾患。,註銷,2026/05/24,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000895,衛署藥輸字第018646號,百力特點眼懸浮液,POLY-PRED LIQUIFILM OPHTHALMIC SUSPENSION,點眼懸液劑,ophthalmic_suspension,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,prednisolone and antiinfectives,台灣愛力根藥品股份有限公司,ALLERGAN PHARMACEUTICALS IRELAND,類固醇局部抗發炎製劑暨抗感染製劑。,註銷,2016/06/07,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000896,衛署藥輸字第018652號,淚膜溶液,LIQUIFILM TEARS,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,醫師藥師藥劑生指示藥品,artificial tears and other indifferent preparations,台灣愛力根藥品股份有限公司,ALLERGAN PHARMACEUTICALS IRELAND,暫時緩解因眼睛乾澀所引起灼熱感與刺激感。,註銷,2019/06/04,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000897,衛署藥輸字第018653號,康結定眼藥水,CONJUNCTIN OPHTHALMIC SOLUTION,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,待分類,香港商愛力根有限公司台灣分公司,"ALLERGAN PHARMACEUTICALS (IRELAND) LTD.,INC.",急性或慢性結膜炎、眼睛表層細菌感染、對ＮＥＯＭＹＣＩＮ、ＰＯＬＹＭＹＸＩＮ有感受之微生物所引起的眼瞼或眼四周皮層感染、角膜潰瘍、角膜炎、鞏膜炎、眼瞼炎及淚囊炎,註銷,1998/02/14,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000898,衛署藥輸字第018654號,倍力特眼用懸浮液１％,1% PRED FORTE OPHTHALMIC SUSPENSION,點眼懸液劑,ophthalmic_suspension,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,prednisolone,瑞士商艾伯維藥品有限公司台灣分公司,ALLERGAN PHARMACEUTICALS IRELAND | 裕利股份有限公司,過敏性眼瞼緣炎、結合膜炎、潰瘍性角膜炎、異物入侵所引起之炎症。,有效,2030/01/08,2026-07-10,true,true,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000899,衛署藥輸字第018655號,無菌眼藥水,PROPINE STERILE OPHTHALMIC SOLUTION,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,dipivefrine,香港商愛力根有限公司台灣分公司,ALLERGAN PHARMACEUTICALS IRELAND,控制慢性廣角性青光眼及眼壓過高患者之眼內壓,註銷,2009/05/23,2026-07-10,false,false,contains_preservative,TFDA 詳細處方成分列有經規則辨識之保存劑；角色仍需仿單人工複核,SRC001,2026-07-10
P000900,衛署藥輸字第018656號,護目寧點眼懸浮液,FML LIQUIFILM  OPHTHALMIC SUSPENSION,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,fluorometholone,台灣愛力根藥品股份有限公司,ALLERGAN PHARMACEUTICALS IRELAND,眼瞼炎、結膜炎、角膜炎、強膜炎、上強膜炎、虹彩炎、虹彩毛樣體炎、,註銷,2025/01/08,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000901,衛署藥輸字第018657號,倍福點眼液,PREFRIN-A OPHTHALMIC SOLUTION,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,待分類,香港商愛力根有限公司台灣分公司,"ALLERGAN PHARMACEUTICALS (IRELAND) LTD.,INC.",眼睛過敏、發炎、刺激之症狀,註銷,1998/02/11,2026-07-10,false,false,contains_preservative,TFDA 詳細處方成分列有經規則辨識之保存劑；角色仍需仿單人工複核,SRC001,2026-07-10
