product_id,indication_id,source_id
oral_liquid_00146,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00147,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00148,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00149,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00150,ind_a,tfda_open_data_info37_cached_20260711
oral_liquid_00151,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00152,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00153,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00154,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00155,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00156,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00157,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00158,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00159,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00160,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00161,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00162,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00163,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00164,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00165,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00166,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00167,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00168,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00169,ind_portal_systemic_encephalopathy_hepatic_precoma_hepatic_coma,tfda_open_data_info37_cached_20260711
oral_liquid_00170,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00171,ind_1_13_17_2_10_17_valproate_3_valproate_4_5_6_17_6,tfda_open_data_info37_cached_20260711
oral_liquid_00172,ind_citrulline,tfda_open_data_info37_cached_20260711
oral_liquid_00173,ind_carnitine,tfda_open_data_info37_cached_20260711
oral_liquid_00174,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00175,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00176,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00177,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00178,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00179,ind_unknown,tfda_open_data_info37_cached_20260711
oral_liquid_00180,ind_unknown,tfda_open_data_info37_cached_20260711
