product_id,substance_id,raw_name,normalized_name,base_substance_group,strength_raw,numerator_value,numerator_unit,denominator_value,denominator_unit,display_concentration,normalized_value_per_ml,concentration_normalized,normalization_status,concentration_status,parsing_rule,confidence,role,confirmation_status,source_id
oral_liquid_00007,sub_tfda_8810200400,RIBOFLAVIN (VIT B2),riboflavin (vit b2),riboflavin (vit b2),EACH 100ML CONTAINS: RIBOFLAVIN (VIT B2) 2 MG,2,mg,100,mL,2 mg/100 mL,0.02,0.02 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00007,sub_tfda_8810101001,THIAMINE MONONITRATE,thiamine mononitrate,thiamine mononitrate,EACH 100ML CONTAINS: THIAMINE MONONITRATE 10 MG,10,mg,100,mL,10 mg/100 mL,0.1,0.1 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00007,sub_tfda_8810600300,PYRIDOXINE HCL,pyridoxine hcl,pyridoxine hcl,EACH 100ML CONTAINS: PYRIDOXINE HCL 10 MG,10,mg,100,mL,10 mg/100 mL,0.1,0.1 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00007,sub_tfda_8816000100,ASCORBIC ACID (VIT C),ascorbic acid (vit c),ascorbic acid (vit c),EACH 100ML CONTAINS: ASCORBIC ACID (VIT C) 400 MG,400,mg,100,mL,400 mg/100 mL,4,4 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00007,sub_tfda_8810000300,NIACINAMIDE (NICOTINAMIDE),niacinamide (nicotinamide),niacinamide (nicotinamide),EACH 100ML CONTAINS: NIACINAMIDE (NICOTINAMIDE) 10 MG,10,mg,100,mL,10 mg/100 mL,0.1,0.1 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00008,sub_tfda_1212001710,METHOXYPHENAMINE HCL,methoxyphenamine hcl,methoxyphenamine hcl,EACH 20ML CONTAINS: METHOXYPHENAMINE HCL 20 MG,20,mg,20,mL,20 mg/20 mL,1,1 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00008,sub_tfda_4800001420,GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN),guaiacol glyceryl ether (eq to guaifenesin),guaiacol glyceryl ether (eq to guaifenesin),EACH 20ML CONTAINS: GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN) 50 MG,50,mg,20,mL,50 mg/20 mL,2.5,2.5 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00008,sub_tfda_1212001813,DL-METHYLEPHEDRINE HCL,dl-methylephedrine hcl,dl-methylephedrine hcl,EACH 20ML CONTAINS: DL-METHYLEPHEDRINE HCL 25 MG,25,mg,20,mL,25 mg/20 mL,1.25,1.25 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00008,sub_tfda_8600000800,DYPHYLLINE,dyphylline,dyphylline,EACH 20ML CONTAINS: DYPHYLLINE 50 MG,50,mg,20,mL,50 mg/20 mL,2.5,2.5 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00008,sub_tfda_2820000460,CAFFEINE HYDRATE,caffeine hydrate,caffeine hydrate,EACH 20ML CONTAINS: CAFFEINE HYDRATE 50 MG,50,mg,20,mL,50 mg/20 mL,2.5,2.5 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00008,sub_tfda_0400000810,CHLORPHENIRAMINE MALEATE,chlorpheniramine maleate,chlorpheniramine maleate,EACH 20ML CONTAINS: CHLORPHENIRAMINE MALEATE 4 MG,4,mg,20,mL,4 mg/20 mL,0.2,0.2 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00009,sub_tfda_4800001010,DEXTROMETHORPHAN HBR,dextromethorphan hbr,dextromethorphan hbr,EACH ML CONTAINS: DEXTROMETHORPHAN HBR 1.25 MG,1.25,mg,1,mL,1.25 mg/mL,1.25,1.25 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
