substance_id,raw_name,normalized_name,base_substance_group,source_id
sub_tfda_4800003821,POLYGALA FLUIDEXTRACT,polygala fluidextract,polygala fluidextract,tfda_open_data_info43_cached_20260711
sub_tfda_2412001101,GINKGO BILOBA EXTRACT,ginkgo biloba extract,ginkgo biloba extract,tfda_open_data_info43_cached_20260711
sub_tfda_9200004001,GINSENG EXTRACT,ginseng extract,ginseng extract,tfda_open_data_info43_cached_20260711
sub_tfda_2824000220,BEZOAR BOVIS EXTRACT,bezoar bovis extract,bezoar bovis extract,tfda_open_data_info43_cached_20260711
sub_tfda_8810101000,THIAMINE NITRATE,thiamine nitrate,thiamine nitrate,tfda_open_data_info43_cached_20260711
sub_tfda_8813000102,INOSITOL L-,inositol l-,inositol l-,tfda_open_data_info43_cached_20260711
sub_tfda_1212001410,METAPROTERENOL SULFATE (ORCIPRENALINE SULFATE),metaproterenol sulfate (orciprenaline sulfate),metaproterenol sulfate (orciprenaline sulfate),tfda_open_data_info43_cached_20260711
sub_tfda_0400001810,DOXYLAMINE SUCCINATE,doxylamine succinate,doxylamine succinate,tfda_open_data_info43_cached_20260711
sub_tfda_2820009450,CAFFEINE (ANHYDROUS),caffeine (anhydrous),caffeine (anhydrous),tfda_open_data_info43_cached_20260711
sub_tfda_8600100100,THEOPHYLLINE,theophylline,theophylline,tfda_open_data_info43_cached_20260711
sub_tfda_0812600200,AMOXICILLIN,amoxicillin,amoxicillin,tfda_open_data_info43_cached_20260711
sub_tfda_4410000400,CLAVULANIC ACID,clavulanic acid,clavulanic acid,tfda_open_data_info43_cached_20260711
sub_tfda_0400005600,LORATADINE,loratadine,loratadine,tfda_open_data_info43_cached_20260711
sub_tfda_5604001340,TRICALCIUM PHOSPHATE,tricalcium phosphate,tricalcium phosphate,tfda_open_data_info43_cached_20260711
sub_tfda_8818000300,CHOLECALCIFEROL ( EQ TO VIT D3) ( EQ TO VITAMIN D3),cholecalciferol ( eq to vit d3) ( eq to vitamin d3),cholecalciferol ( eq to vit d3) ( eq to vitamin d3),tfda_open_data_info43_cached_20260711
sub_tfda_1212000910,FENOTEROL HYDROBROMIDE,fenoterol hydrobromide,fenoterol hydrobromide,tfda_open_data_info43_cached_20260711
