license_number,chinese_name,english_name,dosage_form_raw,route_raw,candidate_reason,exclusion_reason,source_id,verified_at
衛署藥製字第047889號,"""台裕"" 克嗽寧喘注射液","Kethonixine Injection ""Tai Yu""",注射劑,詳如仿單,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第047892號,"""汎生"" 杏瑪菱注射液","Cefmalquin Injection ""Panbiotic""",注射劑,如仿單,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第047896號,鈣先注射液1微克/毫升,Cacare Injection 1mcg/ml,注射劑,詳見仿單,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第047906號,"""派頓"" 呼樂乳膏","Furo Cream ""Patron""",乳膏劑,一日一次，薄敷於患部。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第047965號,"""仙台"" 足黴舒 乳膏 10 毫克","Chu may song Cream 10mg ""Sentai""",乳膏劑,如仿單,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第047999號,益癬淨乳膏,Esanzine Cream,乳膏劑,取本劑適量塗擦於患部，不超過一天2次，早晚各塗敷1次。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第048004號,艾非注射液15毫克/1.5毫升,Achefree Injection 15mg/1.5ml,注射劑,如仿單,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第048083號,利泰乾粉注射劑,LASTIN for Injection,乾粉注射劑,通常成人或老年病患對大多數之感染，每天1~2gm，分成3~4次給藥治療，對中度感染可用每天2次，每次1gm之劑量來治療。對無感受性之病菌所引起之感染，靜脈投與Tilam之每日總劑量可增至4gm/day，或50mg/kg/day，以選取較低劑量為原則。腎機能不良者必須減量。小孩之體重大(等)於40kg時可採用成人劑量。小孩及幼兒之體重小於40kg時，可每6小時給與15mg/kg，但每日總劑量不宜過2gm。本藥限由醫師使用。,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第048166號,"""人人"" 捷舒乳膏","Genusone Cream ""GCPC""",乳膏劑,詳見仿單,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第048215號,愛麗優霜,Aderea Cream,乳膏劑,詳如仿單,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第048242號,"""約克"" 痔療妥 軟膏","Betrudoid Rectal Ointment ""Y.K.""",軟膏劑,通常一天2-3次，使用前先將患部洗淨，再以適量軟膏直接塗布於患部即可；本藥可使用於直腸內。本藥須由醫師處方使用。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
