review_id,license_number,product_id,issue_type,raw_value,standard_value,source,reason
review_leaflet_0054,衛署藥製字第044264號,eye_formal_225,leaflet_or_optional_data_unavailable,Windows OCR did not identify clear formulation/preservative/excipient terms on cached rendered pages.,,enrichment review,Windows OCR did not identify clear formulation/preservative/excipient terms on cached rendered pages.
review_leaflet_0055,衛署藥製字第032714號,eye_formal_241,leaflet_or_optional_data_unavailable,Windows OCR did not identify clear formulation/preservative/excipient terms on cached rendered pages.,,enrichment review,Windows OCR did not identify clear formulation/preservative/excipient terms on cached rendered pages.
review_leaflet_0056,衛署藥輸字第024977號,eye_formal_130,leaflet_or_optional_data_unavailable,Windows OCR did not identify clear formulation/preservative/excipient terms on cached rendered pages.,,enrichment review,Windows OCR did not identify clear formulation/preservative/excipient terms on cached rendered pages.
review_leaflet_0057,衛署藥輸字第016876號,eye_formal_025,leaflet_or_optional_data_unavailable,official attachment URL returned TFDA error HTML,,enrichment review,official attachment URL returned TFDA error HTML
review_leaflet_0058,衛署藥製字第009486號,eye_formal_053,leaflet_or_optional_data_unavailable,official attachment URL returned TFDA error HTML,,enrichment review,official attachment URL returned TFDA error HTML
review_leaflet_0059,內衛藥製字第011133號,eye_formal_091,leaflet_or_optional_data_unavailable,official attachment URL returned TFDA error HTML,,enrichment review,official attachment URL returned TFDA error HTML
review_leaflet_0060,衛署藥製字第004974號,eye_formal_110,leaflet_or_optional_data_unavailable,official attachment URL returned TFDA error HTML,,enrichment review,official attachment URL returned TFDA error HTML
review_leaflet_0061,衛署藥製字第010478號,eye_formal_114,leaflet_or_optional_data_unavailable,official attachment URL returned TFDA error HTML,,enrichment review,official attachment URL returned TFDA error HTML
review_leaflet_0062,衛署藥製字第057303號,eye_formal_151,leaflet_or_optional_data_unavailable,official attachment URL returned TFDA error HTML,,enrichment review,official attachment URL returned TFDA error HTML
review_leaflet_0063,衛署藥製字第049530號,eye_formal_011,leaflet_or_optional_data_unavailable,official attachment URL returned TFDA error HTML,,enrichment review,official attachment URL returned TFDA error HTML
review_leaflet_0064,衛署藥輸字第025115號,eye_formal_060,leaflet_or_optional_data_unavailable,official attachment URL returned TFDA error HTML,,enrichment review,official attachment URL returned TFDA error HTML
review_leaflet_0065,衛部藥輸字第026529號,eye_formal_004,leaflet_or_optional_data_unavailable,official attachment URL returned TFDA error HTML,,enrichment review,official attachment URL returned TFDA error HTML
review_leaflet_0066,衛署藥製字第049558號,eye_formal_010,leaflet_or_optional_data_unavailable,official attachment URL returned TFDA error HTML,,enrichment review,official attachment URL returned TFDA error HTML
