substance_id,standard_name,chinese_name,base_ingredient_name,salt_ester_hydrate_form,default_role
sub_0063,carteolol,卡替洛爾,carteolol,hcl,active
sub_0064,ofloxacin,氧氟沙星,ofloxacin,,active
sub_0065,ofloxacin,氧氟沙星,ofloxacin,hydrate,active
sub_0066,gentamicin,慶大黴素,gentamicin,,active
sub_0067,betamethasone,倍他米松,betamethasone,,active
sub_0068,ofloxacin,氧氟沙星,ofloxacin,hcl,active
sub_0069,tobramycin,妥布黴素,tobramycin,sulfate,active
sub_0070,zinc sulfate,硫酸鋅,zinc sulfate,sulfate; hydrate,active
sub_0071,potassium aspartate,天門冬氨酸鉀,potassium aspartate,,active
sub_0072,allantoin,尿囊素,allantoin,,active
sub_0073,naphazoline,萊甲唑啉,naphazoline,hcl,active
sub_0074,cyanocobalamin,維生素B12,cyanocobalamin,,active
sub_0075,pyridoxine,吡哆醇,pyridoxine,hydrochloride,active
sub_0076,neostigmine,新斯的明,neostigmine,sulfate,active
sub_0077,dipotassium glycyrrhizinate,甘草酸二鉀,dipotassium glycyrrhizinate,,active
sub_0078,antazoline,安他唑啉,antazoline,,active
sub_0079,antazoline,安他唑啉,antazoline,hcl,active
sub_0080,tocopherol,維生素E,tocopherol,acetate,active
sub_0081,benoxinate,倍諾喜,benoxinate,hcl,active
sub_0082,panthenol,泛醇,panthenol,,active
sub_0083,procaine,普魯卡因,procaine,hcl,active
sub_0084,prednisolone,潑尼松龍,prednisolone,sodium,active
sub_0085,oxymetazoline,羥甲唑啉,oxymetazoline,hcl,active
sub_0086,dexamethasone,地塞米松,dexamethasone,sodium,active
sub_0087,flavin adenine dinucleotide,黃素腺嘌呆核苷酸,flavin adenine dinucleotide,sodium,active
sub_0088,chondroitin sulfate,硫酸軟骨素,chondroitin sulfate,sulfate,active
sub_0089,aspartate,天門冬氨酸,aspartate,,active
sub_0090,zinc sulfate,硫酸鋅,zinc sulfate,sulfate,active
sub_0091,pyridoxine,吡哆醇,pyridoxine,hcl,active
sub_0092,diquafosol,地夸磷索,diquafosol,sodium,active
sub_0093,naphazoline,萊甲唑啉,naphazoline,hydrochloride,active
sub_0094,tetrahydrozoline,四氫唑啉,tetrahydrozoline,hydrochloride,active
sub_0095,procaine,普魯卡因,procaine,hydrochloride,active
sub_0096,sulfamethoxazole,磺胺甲噤唑,sulfamethoxazole,sodium,active
sub_0097,chondroitin sulfate,硫酸軟骨素,chondroitin sulfate,sodium,active
sub_0098,phenylephrine,去氧腎上腺素,phenylephrine,hydrochloride,active
sub_0099,sulfamethoxazole,磺胺甲噤唑,sulfamethoxazole,,active
sub_0100,neomycin,新霉素,neomycin,,active
sub_0101,homosulfamine,高磺胺,homosulfamine,,active
sub_0102,pilocarpine,毛果芸香鹼,pilocarpine,hcl,active
sub_0103,naphazoline,萊甲唑啉,naphazoline,,active
sub_0104,carbachol,卡巴膽鹼,carbachol,,active
sub_0105,fusidic acid,夫西地酸,fusidic acid,,active
sub_0106,polysorbate 80,聚山梨醇酯80,polysorbate 80,,surfactant
sub_0107,benzalkonium chloride,,benzalkonium chloride,,preservative
sub_0108,chlorobutanol,,chlorobutanol,,preservative
sub_0109,potassium chloride,氯化鉀,potassium chloride,,tonicity_agent
sub_0110,calcium chloride,氯化鈣,calcium chloride,hydrate,tonicity_agent
