license_number,chinese_name,english_name,dosage_form_raw,route_raw,candidate_reason,exclusion_reason,source_id,verified_at
衛署藥製字第044618號,悠悠香港腳脫那黴外用噴液1%,U.U. FOR ATHLETE'S TOLNAFTATE 1% EXTERNAL LIQUID SPRAY,外用噴液劑,,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第048186號,允消舒黴噴劑10毫克/公克,Winsolve Sulnafine Spray 10mg/gm,外用噴液劑,"1天1次：足癬、體癬、股癬
1天2次：汗斑",dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第048250號,"""仙台"" 足黴舒 噴劑10毫克/公克","Chu may song Spray 10mg/gm ""Sentai""",外用噴液劑,詳見仿單,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049430號,療足黴噴劑 10 毫克/公克,Foot Relief Spray 10mg/gm,外用噴液劑,詳見仿單。,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥輸字第022332號,療黴舒噴劑１０毫克／公克（特比那芬）,LAMISIL SPRAY 10MG/G (TERBINAFINE),外用噴液劑,,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第047832號,黴足淨噴劑10毫克/公克,Amoza-P Spray 10mg/g,外用噴液劑,詳見仿單,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第048197號,"""汎生"" 特品療黴噴劑(10毫克/公克)","Terbin Spray (10mg/g) ""Panbiotic""",外用噴液劑,如仿單,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛部藥輸字第026657號,"""吸必擴""氣化噴霧劑 160/4.5 微克/劑量",Symbicort Rapihaler 160/4.5ug/dose,氣化噴霧劑,詳見仿單,dosage_form_spray_signal,pulmonary_inhaler,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛部藥輸字第027524號,必肺宜氣化噴霧劑7.2/5.0微克/劑量,"Bevespi Aerosphere 7.2/5.0 micrograms Pressurised Inhalation, Suspension",口腔氣化噴霧劑,詳見仿單,dosage_form_spray_signal,pulmonary_inhaler,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛部藥輸字第027672號,喘寶定量吸入劑100/6/12.5 mcg/dose,Trimbow,氣化噴霧劑,詳見仿單,dosage_form_spray_signal,pulmonary_inhaler,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛部藥輸字第027945號,肺舒坦定量吸入劑200/6 mcg/dose,Foster 200/6,氣化噴霧劑,詳如仿單,dosage_form_spray_signal,pulmonary_inhaler,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛部藥輸字第028490號,喘寶定量吸入劑200/6/12.5微克/劑量,"Trimbow 200/6/12.5 micrograms pressuried inhalation, solution",氣化噴霧劑,詳如仿單,dosage_form_spray_signal,pulmonary_inhaler,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛部藥輸字第028183號,必肺暢氣化噴霧劑160/7.2/5.0微克,BREZTRI AEROSPHERE 160/7.2/5.0 micrograms,口腔氣化噴霧劑,詳見仿單,dosage_form_spray_signal,pulmonary_inhaler,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥輸字第023074號,備勞喘１００微公克定量噴霧液,BEROTEC N 100MCG/PUFF METERED AEROSOL,口腔氣化噴霧劑,,dosage_form_spray_signal,pulmonary_inhaler,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛部藥輸字第027051號,落建女性專用生髮慕絲,Regaine Women's Foam 5%,氣化噴霧劑,請參閱仿單。,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛部藥輸字第028249號,撒隆巴斯 酸痛 噴劑,Salonpas JET SPRAY,外用氣化噴霧劑,詳如仿單。,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049211號,利平喘呼吸溶液劑,Nopant respirator solution,氣化噴霧用溶液劑,詳見仿單。,dosage_form_spray_signal,pulmonary_inhaler,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥輸字第023473號,"備喘全定量噴霧液 ""德國廠""",BERODUAL N METERED AEROSOL,噴霧劑,,dosage_form_spray_signal,pulmonary_inhaler,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛部藥輸字第026760號,"""吸必擴""氣化噴霧劑80/4.5微克/劑量",Symbicort Rapihaler 80/4.5 ug/dose,氣化噴霧劑,詳見仿單,dosage_form_spray_signal,pulmonary_inhaler,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
