product_id,substance_id,role,strength,strength_unit,source_id,verified_at
spray_0078,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0079,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0080,sub_oxymetazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0081,sub_triamcinolone,active,(Triamcinolone Acetonide Micronized...0.55mg),MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0082,sub_naphazoline_lidocaine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0083,sub_xylometazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0084,sub_naphazoline,active,0.5; 5.0; 0.2,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0085,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0086,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0087,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0088,sub_oxymetazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0089,sub_hexetidine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0090,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0091,sub_povidone_iodine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0092,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0093,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0094,sub_cromolyn,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0095,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0096,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0097,sub_xylometazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0098,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0099,sub_povidone_iodine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0100,sub_budesonide,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0101,sub_povidone_iodine,active,(Available Iodine.....0.4725mg),MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0102,sub_naphazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0103,sub_oxymetazoline,active,1.0,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0104,sub_fluticasone,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0105,sub_naphazoline,active,0.5; 5,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0106,sub_oxymetazoline,active,0.5,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0107,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0108,sub_azelastine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0109,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0110,sub_budesonide,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0111,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0112,sub_povidone_lodine,active,,%(W/V),tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0113,sub_naphazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0114,sub_oxymetazoline,active,(0.05%)0.5,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0115,sub_oxymetazoline,active,0.5,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0116,sub_beclomethasone,active,1.11,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0117,sub_povidone_iodine_povidone_iodine_povidone_iodine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0118,sub_xylometazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0119,sub_fluticasone,active,mcg/spray,MCG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0120,sub_xylometazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0121,sub_oxymetazoline,active,0.5,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0122,sub_povidone_iodine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0123,sub_budesonide,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0124,sub_cromolyn,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0125,sub_budesonide,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0126,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0127,sub_naphazoline,active,0.5; 1; 0.5; 1,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0128,sub_oxymetazoline,active,1,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0129,sub_sumatriptan,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0130,sub_fluticasone_azelastine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0131,sub_fluticasone,active,(MICRONISED),MCG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0132,sub_fluticasone,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0133,sub_mometasone,active,(eq. to Mometasone Furoate Anhydrous.....0.05mg),MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0134,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0135,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0136,sub_oxymetazoline,active,1,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0137,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0138,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0139,sub_oxymetazoline,active,1,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0140,sub_benzydamine,active,1.5; 1.5,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0141,sub_naphazoline_diphenhydramine_procaine,active,0.5; 2; 10,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
