商品名,英文品名,許可證字號,許可證種類,劑型,規格,包裝,適應症,排除原因,命中關鍵字
"""賽華陀""樂敏安膠囊","ANPIYAN CAPSULES""Sai Wa To""",衛署藥製字第036519號,製 劑,膠囊劑,CHLORPHENIRAMINE MALEATE;;PYRIDOXINE HCL;;PANTOTHENATE CALCIUM;;NIACINAMIDE (NICOTINAMIDE);;RIBOFLAVIN (VIT B2);;BIOTIN,塑膠瓶裝;;鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""長安""妥克敏酏劑","TOKERMIN ELIXIRS ""C.A.""",衛署藥製字第021321號,製 劑,酏劑,PHENYLEPHRINE HCL;;BROMPHENIRAMINE MALEATE,塑膠瓶裝;;玻璃瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""長安""林德隆錠（貝他每松）","LINDALONE TABLETS ""C.A.""(BETAMETHASONE)",衛署藥製字第021243號,製 劑,錠劑,BETAMETHASONE,瓶裝,原發性及續發性腎上腺皮質素不足、類風濕性關節炎、急性和亞急性滑囊炎、腱鞘炎、全身紅斑性狼瘡、剝落性皮膚炎、牛皮癬、過敏性鼻炎、支氣管性氣喘、接觸性皮膚炎、過敏性眼疾、症狀性結節病,非眼科外用最終劑型,眼
"""長安""綜合鼻炎膠囊","Zuanho Piyen Capsules ""C.A.""",衛部藥製字第059805號,製 劑,膠囊劑,CAFFEINE ANHYDROUS;;CHLORPHENIRAMINE MALEATE;;PHENYLEPHRINE HCL;;CAFFEINE ANHYDROUS;;CHLORPHENIRAMINE MALEATE;;PHENYLEPHRINE HCL;;CAFFEINE ANHYDROUS;;CHLORPHENIRAMINE MALEATE;;PHENYLEPHRINE HCL;;CAFFEINE ANHYDROUS;;CHLORPHENIRAMINE MALEATE;;PHENYLEPHRINE HCL;;CAFFEINE ANHYDROUS;;PHENYLEPHRINE HCL;;CHLORPHENIRAMINE MALEATE;;PHENYLEPHRINE HCL;;CHLORPHENIRAMINE MALEATE;;CAFFEINE ANHYDROUS,PTP 鋁箔盒裝;;塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""長安""過敏能膠囊","FRUSONIN CAPSULES ""C.A.""",衛署藥製字第022218號,製 劑,膠囊劑,NIACINAMIDE (NICOTINAMIDE);;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID );;BIOTIN;;PANTOTHENATE CALCIUM;;PYRIDOXINE HCL;;RIBOFLAVIN (VIT B2);;CHLORPHENIRAMINE MALEATE,瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關證狀（流鼻水、鼻塞、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""長安""鼻塞酏劑",RHINITIS ELIXIR,衛署藥製字第026811號,製 劑,酏劑,TRIPROLIDINE HCL;;PHENYLEPHRINE HCL,玻璃瓶裝;;塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""阿德比""驅敏寧錠1.34毫克(克雷滿汀)","Histaverin Tablets 1.34mg (Clemastine Fumarate) ""ATOBI""",衛部藥製字第058991號,製 劑,錠劑,CLEMASTINE FUMARATE,鋁箔盒裝;;塑膠瓶裝,緩解過敏性鼻炎，枯草熱所引起之相關症狀(流鼻水、打噴嚏、眼睛及喉部搔癢)及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""陽生"" 美達林錠5毫克(美奎塔令)","BEDELIN TABLETS 5MG ""Y.S."" (MEQUITAZINE)",衛部藥製字第060232號,製 劑,錠劑,MEQUITAZINE,塑膠瓶裝;;鋁箔盒裝,過敏性鼻炎、乾草熱、蕁麻疹、血管神經性水腫、季節性結膜炎、藥物過敏。,非眼科外用最終劑型,結膜炎
"""陽生"" 鼻敏寧錠","BIMINING TABLETS ""Y.S.""",衛署藥製字第026346號,製 劑,錠劑,CARBINOXAMINE MALEATE;;PSEUDOEPHEDRINE HCL,鋁箔盒裝,緩解過敏性鼻炎，枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""陽生""敏達錠","BENDA TABLETS ""Y.S.""",衛署藥製字第003633號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE,鋁箔盒裝;;塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(流鼻水、打噴嚏、眼睛及喉部搔癢)及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""陽生""絡鼻寧錠",HROBILINE TABLETS,衛署藥製字第025450號,製 劑,錠劑,CAFFEINE ANHYDROUS;;DL-METHYLEPHEDRINE HCL;;CHLORPHENIRAMINE MALEATE,PTP 鋁箔盒裝;;塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(流鼻水、鼻塞、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""黃氏"" 樂敏停糖漿","LORADIN SYRUP ""H.S.""",衛署藥製字第045706號,製 劑,糖漿劑,LORATADINE,塑膠瓶裝;;玻璃瓶裝,暫時緩解過敏性鼻炎、枯草熱(花粉熱)所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)或過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""黃氏""好舒雞眼軟膏","WARTSFREE OINTMENT ""H.S.""",衛署藥製字第046479號,製 劑,軟膏劑,SALICYLIC ACID,鋁軟管,治療疣。,非眼科外用最終劑型,眼
"""黃氏""麻麗那都錠４毫克（縮蘋酸氯菲安明）","Malenate Tablets 4mg ""H.S.""(Chlorpheniramine Maleate)",衛署藥製字第029937號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE,瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(流鼻水、打噴嚏、眼睛及喉部搔癢)及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""黃氏""鼻康納鼻用噴液 ５０μＧ/ＳＰＲＡＹ","BETONASE AQUEOUS NASAL SPRAY 50μG/SPRAY ""H.S.""",衛署藥製字第044299號,製 劑,鼻用噴液劑,BECLOMETHASONE DIPROPIONATE,塑膠瓶裝,暫時緩解經醫師診斷之過敏性鼻炎或其他上呼吸道過敏相關症狀：鼻塞、流鼻水、打噴嚏、鼻搔癢、眼睛癢、流眼淚。,非眼科外用最終劑型,眼；眼睛癢
"""鼻律清""清鼻膠囊","""PILUCHIN"" MSC F.C. CAPSULES",衛署藥製字第022573號,製 劑,膠囊劑,CAFFEINE ANHYDROUS;;CARBINOXAMINE MALEATE;;PSEUDOEPHEDRINE HCL;;PSEUDOEPHEDRINE HCL;;CARBINOXAMINE MALEATE;;CAFFEINE ANHYDROUS,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""鼻律清""鼻炎膠囊","""PILUCHIN"" SINUS RELIEF CAPSULES",衛署藥製字第015383號,製 劑,膠囊劑,CHLORPHENIRAMINE MALEATE;;PSEUDOEPHEDRINE HCL D-,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
“中生”鹽酸二苯胺明膠囊50毫克,"DIPHENHYDRAMINE HCL CAPSULES 50MG ""CBC""",內衛藥製字第011942號,製 劑,膠囊劑,DIPHENHYDRAMINE HCL,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢)及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
“信東”信諾隆膜衣錠２５０毫克,CINOLONE F.C. TABLET 250MG,衛署藥製字第038747號,製 劑,膜衣錠,CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE( EQ TO CIPROFLOXACIN HYDROCHLORIDE H2O),塑膠瓶裝;;鋁箔盒裝,對ＣＩＰＲＯＦＬＯＸＡＣＩＮ有感受性之細菌所引起之呼吸道感染、中耳炎、竇炎、眼感染、腎臟及泌尿道感染（包括淋病）、腹部感染（包括腹膜炎）、皮膚及軟組織感染、骨髓炎、關節感染、菌血症。成人和小孩：吸入性炭疽病（接觸後）。小孩：大腸桿菌所引起之複雜性泌尿道感染和腎盂腎炎(1-17歲)、綠膿桿菌有關之囊腫性纖維化產生急性肺部惡化的現象（5-17歲）。,非眼科外用最終劑型,眼
“信東”信諾隆靜脈輸注液 10 毫克/毫升,Cinolone IV Infusion 10 mg/mL,衛署藥製字第049276號,製 劑,注射劑,CIPROFLOXACIN,盒裝;;玻璃小瓶裝,成人：對CIPROFLOXACIN有感受性之細菌所引起之呼吸道感染、中耳炎、竇炎、眼感染、腎臟及泌尿道感染（包括淋病）、腹部感染（包括腸炎、膽囊炎、腹膜炎）、皮膚及軟組織感染、骨髓炎、關節感染、菌血症。小孩︰大腸桿菌引起之複雜性泌尿道感染和腎盂腎炎(1-17歲)、綠膿桿菌有關之囊腫性纖維化產生急性肺部惡化的現象(5-17歲)。成人和小孩：吸入性炭疽病(接觸後)。,非眼科外用最終劑型,眼
“健喬”喜得欣膜衣錠５００毫克（塞浦弗洒辛）,"CIPROFLOXACIN F.C. TABLETS 500MG ""SYNMOSA""",衛署藥製字第039170號,製 劑,膜衣錠,CIPROFLOXACIN (HCL),鋁箔裝;;塑膠容器裝,對ＣＩＰＲＯＦＬＯＸＡＣＩＮ有感受性之細菌所引起之呼吸道感染、中耳炎、寶炎、眼感炎、腎臟及泌尿道感染（包括淋病）、腹部感染（包括腹膜炎）、皮膚及軟組織感染、骨髓炎、關節感染、菌血症。,非眼科外用最終劑型,眼
“光南”德康鼻炎膠囊,Dorcon Anti-Aller Capsules“K.N.”,衛署藥製字第049971號,製 劑,膠囊劑,CAFFEINE ANHYDROUS;;PSEUDOEPHEDRINE HCL;;CARBINOXAMINE MALEATE,鋁箔盒裝,緩解過敏性鼻炎、枯草熱引起之相關症狀 (鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
“光南”抗敏寧錠（延胡索酸可利汀）,"ANTIHISTAMICS TABLETS ""K.N.""(CLEMASTINE)",衛署藥製字第022186號,製 劑,錠劑,CLEMASTINE (FUMARATE),塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(流鼻水、打噴嚏、眼睛及喉部搔癢)及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
“台裕”解舒錠 25 毫克(待芬尼朵),Gelso Tablets 25mg (Diphenidol)“Tai Yu”,衛署藥製字第050013號,製 劑,錠劑,DIPHENIDOL HYDROCHLORIDE (eq to DIFENIDOL HCL),塑膠瓶裝;;鋁箔盒裝,因內耳障礙所引起之眩暈(包括腦血管障礙及頭頸部外傷後遺症之眩暈)，眼振、美尼攸氏症候群。,非眼科外用最終劑型,眼
“嘉林”使鼻朗錠,"SEUPHENON TABLETS ""C.L.""",衛署藥製字第016422號,製 劑,錠劑,PSEUDOEPHEDRINE HCL;;CARBINOXAMINE MALEATE,PTP 鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
“大豐”同南克特注射液40毫克/毫升,"Tunnacort Injection 40mg/ml ""T.F.""",衛署藥製字第033773號,製 劑,注射劑,TRIAMCINOLONE ACETONIDE,安瓿;;小瓶,類風濕性關節炎、骨關節炎、滑囊炎、支氣管氣喘、結節性動脈周圍炎、僂麻質斯疾患、安迪生氏病、皮質疾患、炎症性眼疾患、過敏性疾患,非眼科外用最終劑型,眼
“安星”安鼻通錠,Anpeton Tablets“Astar”,衛署藥製字第054969號,製 劑,錠劑,TRIPROLIDINE HCL MONOHYDRATE;;PSEUDOEPHEDRINE HCL,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀 (流鼻水、鼻塞、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
“強生”德惠臨錠２毫克（右旋氯菲安明）,"DEXFERIN TABLETS 2MG (DEXCHLORPHENIRAMINE) ""JOHNSON""",衛署藥製字第036268號,製 劑,錠劑,DEXCHLORPHENIRAMINE MALEATE,瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
“強生”貝他每松錠,"BETAMETHASONE TABLETS ""JOHNSON""",衛署藥製字第013162號,製 劑,錠劑,BETAMETHASONE,瓶裝,風濕性關節炎、風濕熱、膠原病、過敏性疾患、結合織炎及關節炎樣疾患、重症皮膚疾患、過敏性及炎症性眼科疾患、肉芽腫,非眼科外用最終劑型,眼；眼科
“惠勝”喜可通緩釋微粒膠囊,Ceton S.R.M. Capsules“WECAM”,衛署藥製字第055248號,製 劑,緩釋微粒膠囊,PSEUDOEPHEDRINE HCL;;CETIRIZINE DIHYDROCHLORIDE (EQ TO CETIRIZINE 2HCL ),鋁箔盒裝,治療季節型及常年型過敏性鼻炎的相關症狀，包括鼻黏膜充血、打噴嚏、流鼻水、鼻腔和眼睛搔癢。,非眼科外用最終劑型,眼
“成大” 鼻舒寧錠,"PISUNIN TABLETS ""Chen Ta""",衛署藥製字第022747號,製 劑,錠劑,CARBINOXAMINE MALEATE;;PSEUDOEPHEDRINE HCL,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢),非眼科外用最終劑型,眼
“成大”治鼻通錠,Jepiton Tablets“Chen Ta”,衛署藥製字第048797號,製 劑,錠劑,TRIPROLIDINE HCL MONOHYDRATE;;PSEUDOEPHEDRINE HCL,積層鋁箔袋裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
“新喜”克敏寧錠2.5公絲（縮蘋酸氯菲安明）,CHOMIN TABLETS 2.5MG “N.C.P”(CHLORPHENIRAMINE MALEATE),衛署藥製字第042196號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
“新喜”的得美舒錠１公絲,DEXAMETHASONE TABLETS“N.C.P”,衛署藥製字第022212號,製 劑,錠劑,DEXAMETHASONE,瓶裝,僂麻質斯熱、僂麻質斯樣關節炎、支氣管氣喘、重症皮膚疾患膠原病、炎症性眼疾患,非眼科外用最終劑型,眼
“新喜”迪骨錠25毫克,DIPHENIDOL TABLETS 25MG“N.C.P”,衛署藥製字第019093號,製 劑,錠劑,DIPHENIDOL HYDROCHLORIDE (eq to DIFENIDOL HCL),塑膠瓶裝,內耳障礙引起之眩暈、眼振美尼艾氏症候群,非眼科外用最終劑型,眼
“杏輝”敏可治錠 5 毫克,Mequitazine Tablets 5mg“Sinphar”,衛署藥製字第049397號,製 劑,錠劑,MEQUITAZINE,鋁箔盒裝;;塑膠瓶裝,過敏性鼻炎、蕁麻疹、濕疹、藥物過敏、乾草熱、血管神經性水腫、季節性結膜炎。,非眼科外用最終劑型,結膜炎
“杏輝”杏止敏液,Cetirizine Oral Solution“Sinphar”,衛署藥製字第049628號,製 劑,內服液劑,CETIRIZINE DIHYDROCHLORIDE (EQ TO CETIRIZINE 2HCL ),塑膠瓶裝,季節性鼻炎、結膜炎、過敏性鼻炎、蕁麻疹、過敏性搔癢等過敏現象。,非眼科外用最終劑型,結膜炎
“杏輝”涕寧糖漿,Actirin Syrup “Sinphar”,衛署藥製字第048794號,製 劑,糖漿劑,TRIPROLIDINE HCL;;PSEUDOEPHEDRINE HCL,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
“柏理”乙酸可體松錠２５毫克,Cortisone Acetate Tablets 25mg “Pine Lawer”,衛署藥製字第013381號,製 劑,錠劑,CORTISONE ACETATE,塑膠瓶裝;;鋁箔盒裝,風濕性關節炎、急性風濕熱、過敏性病、炎症性眼病、皮膚病、贅生性疾病及阿迪生氏病。,非眼科外用最終劑型,眼
“榮民”治鼻敏錠4毫克,"CHLORPHENIRAMINE MALEATE TABLETS ""VPP""",衛署藥製字第003442號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。預防或緩解暈車、暈船、暈機所引起之頭暈、噁心、嘔吐、頭痛。,非眼科外用最終劑型,眼
“歐業”賜爾鼻好 膠囊,“O.Y.”SULPIHO CAPSULES,衛署藥製字第007529號,製 劑,膠囊劑,BELLADONNA EXTRACT;;CHLORPHENIRAMINE MALEATE;;PSEUDOEPHEDRINE HCL;;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID ),鋁箔盒裝,緩解過敏性鼻炎，枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
“永信”薪敏拿 B 錠,Neo-Vena-B Tablet“Yung Shin”,衛署藥製字第050217號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE;;PYRIDOXINE HCL;;RIBOFLAVIN (VIT B2),塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(流鼻水、打噴嚏、眼睛及喉部搔癢)及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
“約克”敏樂治內服液劑 1 毫克/毫升,Minergy Oral Solution 1 mg/mL “Y.K.”,衛署藥製字第048860號,製 劑,內服液劑,CETIRIZINE DIHYDROCHLORIDE (EQ TO CETIRIZINE 2HCL ),塑膠瓶裝(HDPE),季節性鼻炎、結膜炎、過敏性鼻炎、蕁麻疹、過敏性搔癢等過敏現象。,非眼科外用最終劑型,結膜炎
“約克”袪鼻敏糖漿1毫克/毫升,Debimin Syrup 1.0mg/mL “Y.K.”,衛署藥製字第048788號,製 劑,糖漿劑,LORATADINE,玻璃瓶裝;;塑膠瓶裝,緩解過敏性鼻炎之相關症狀，如流鼻水、鼻塞、搔癢及緩解眼睛搔癢和灼熱感。,非眼科外用最終劑型,眼
“華樺”敏諾舒錠 5 毫克,Menber Tablets 5mg“H.H.”,衛署藥製字第052620號,製 劑,錠劑,MEQUITAZINE,塑膠瓶裝;;鋁箔盒裝,過敏性鼻炎、乾草熱、蕁麻疹、濕疹、血管性神經水腫、季節性結膜炎、藥物過敏。,非眼科外用最終劑型,結膜炎
“華興”奧洛汀糖衣錠,OROTIN SUGAR COATED TABLETS“H.S.”,衛署藥製字第021224號,製 劑,糖衣錠,GLYCYRRHIZIN;;OROTIC ACID (VIT B13);;CHLORPHENIRAMINE MALEATE,瓶裝,暫時緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻涕、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
“衛達”倍達爽錠０．６公絲（貝皮質醇）,"BETASONE TABLETS 0.6MG ""WEIDAR""(BETAMETHASONE)",衛署藥製字第027434號,製 劑,錠劑,BETAMETHASONE,瓶裝,原發性及續發性腎上腺皮質素不足、類風濕性關節炎、急性和亞急性滑囊炎、腱鞘炎、全身紅斑性狼瘡、剝落性皮膚炎、牛皮癬、過敏性鼻炎、支氣管性氣喘、接觸性皮膚炎、過敏性眼疾、症狀性結節病,非眼科外用最終劑型,眼
“衛達”得息敏錠,"TOSUMIN TABLETS ""WEIDAR""",衛署藥製字第032113號,製 劑,錠劑,TRIPROLIDINE HCL;;PSEUDOEPHEDRINE HCL,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
“衛達”達敏錠１．３４毫克（延胡索酸可利汀）,"DARVINE TABLETS 1.34MG (CLEMASTINE FUMARATE) ""WEIDAR""",衛署藥製字第027432號,製 劑,錠劑,CLEMASTINE FUMARATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
“豐田”縮蘋酸卡比諾沙明錠,"CARBINOXAMINE TABLETS ""HONTEN""",衛署藥製字第013631號,製 劑,錠劑,CARBINOXAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹,非眼科外用最終劑型,眼
“豐田”豐樂敏膠囊２５毫克,RAMIN CAPSULES 25MG,衛署藥製字第009480號,製 劑,膠囊劑,DIPHENHYDRAMINE HCL,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
“長安” 綜合鼻炎錠,Anti-Rhinitis CX Tablet ”C.A.”,衛署藥製字第009161號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE;;PHENYLEPHRINE HCL;;CAFFEINE ANHYDROUS,鋁箔盒裝;;塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
”晟德” 鼻炎內服液劑,"DIAMINE ORAL SOLUTION 4MG/ML ""Center""(DIPHENHYDRAMINE HCL)",衛署藥製字第031681號,製 劑,內服液劑,DIPHENHYDRAMINE HCL,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水，打噴嚏，眼睛及喉部搔癢）及過敏所引起之搔癢，皮膚癢疹．,非眼科外用最終劑型,眼
”福元”德斯敏錠 2 毫克,Dexmine Tablets 2 mg“F.Y.”,衛署藥製字第049433號,製 劑,錠劑,DEXCHLORPHENIRAMINE MALEATE,鋁箔盒裝;;塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(流鼻水、打噴嚏、眼睛及喉部搔癢)及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
〝人人〞鹽酸四環素肌肉注射劑,"TETRACYCLINE INTRAMUSCULAR ""GCPC """,內衛藥製字第011125號,製 劑,注射劑,TETRACYCLINE HCL (EQ TO TETRACYCLINE HYDROCHLORIDE);;PROCAINE HCL,小瓶裝,支氣管炎、扁桃腺炎、肺炎、急性心內膜炎、膽道炎、急性胃腸炎、膀胱炎、腎盂炎、淋菌性尿道炎、子宮炎、乳房炎、產褥熱、腹膜炎、中耳炎、眼部感染症、癤病、敗血症、蜂窩織炎,非眼科外用最終劑型,眼
〝人生〞治吾敏膠囊,"BISMIN CAPSULES ""J.S.""",衛署藥製字第022154號,製 劑,膠囊劑,PYRIDOXINE HCL;;BIOTIN;;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID );;CHLORPHENIRAMINE MALEATE;;NIACINAMIDE (NICOTINAMIDE);;RIBOFLAVIN (VIT B2);;PANTOTHENATE CALCIUM,瓶裝,暫時緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻涕、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹,非眼科外用最終劑型,眼
〝信隆〞敏立克錠１毫克（延胡所酸可利汀）,"MINLICK TABLETS (CLEMASTINE) ""SPC""",衛署藥製字第024958號,製 劑,錠劑,CLEMASTINE (FUMARATE),塑膠瓶裝;;鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
〝健亞〞健敏錠１０公絲（樂雷塔定）,GENADINE TABLET 10MG (LORATADINE),衛署藥製字第042860號,製 劑,錠劑,LORATADINE,鋁箔盒裝;;塑膠容器裝,緩解過敏性鼻炎的相關症狀，如流鼻水、鼻塞、搔癢及眼睛搔癢和灼熱感。及緩解因慢性蕁麻疹及過敏性皮膚病所引起的症狀。,非眼科外用最終劑型,眼
〝壽元〞賽普輸液２毫克/毫升（塞浦弗洒辛）,"CIPROFLO INFUSION SOLUTION 2MG/ML ""S.Y."" (CIPROFLOXACIN)",衛署藥製字第037004號,製 劑,注射液劑,CIPROFLOXACIN,玻璃容器裝,成人：對CIPROFLOXACIN有感受性之細菌所引起之呼吸道感染、中耳炎、竇炎、眼感染、腎臟及泌尿道感染（包括淋病）、腹部感染（包括腸炎、膽囊炎、腹膜炎）、皮膚及軟組織感染、骨髓炎、關節感染、菌血症。小孩︰大腸桿菌引起之複雜性泌尿道感染和腎盂腎炎(1-17歲)、綠膿桿菌有關之囊腫性纖維化產生急性肺部惡化的現象(5-17歲)。成人和小孩：吸入性炭疽病(接觸後)。,非眼科外用最終劑型,眼
〝振貿〞免涕膠囊,"BENTEA ""JENN MAW""",衛署藥製字第008676號,製 劑,膠囊劑,CHLORPHENIRAMINE MALEATE;;DL-METHYLEPHEDRINE HCL,鋁箔盒裝;;塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
〝榮民〞去敏膠囊50毫克,BENAMINE CAPSULES 50MG,衛署藥製字第027936號,製 劑,膠囊劑,DIPHENHYDRAMINE HCL,塑膠瓶裝;;PTP 鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
〝理想〞敏舒妥膠囊,"MINSUTOL CAPSULES ""IDEAL""",衛署藥製字第006508號,製 劑,膠囊劑,DIPHENHYDRAMINE HCL,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
〝理想〞溴敏錠,"BROMPHENIRAMINE TABLETS ""IDEAL""",衛署藥製字第015625號,製 劑,錠劑,BROMPHENIRAMINE MALEATE,瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴涕、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
〝華盛頓〞洛得敏糖漿,"RODAMINE SYRUP ""W.P.""",衛署藥製字第044294號,製 劑,糖漿劑,LORATADINE,塑膠瓶裝,緩解過敏性鼻炎的相關症狀，如流鼻水、鼻塞、搔癢及緩解眼睛搔癢和灼熱感。,非眼科外用最終劑型,眼
