商品名,英文品名,許可證字號,許可證種類,劑型,規格,包裝,適應症,排除原因,命中關鍵字
溴莫尼丁酒石酸鹽,Brimonidine Tartrate,衛部藥輸字第028840號,原料藥,（粉）,,0.1公斤以上裝,青光眼治療藥,原料藥／非最終製劑,眼；青光眼
硫酸鋅七水合物,Zinc Sulfate Heptahydrate,衛部藥輸字第028745號,原料藥,原料藥結晶性粉末,,0.5公斤以上裝,鋅缺乏症、眼部不適之用藥,原料藥／非最終製劑,眼
適目達注射劑,TEPEZZA for injection,衛部菌疫輸字第001294號,菌 疫,凍晶注射劑,TEPROTUMUMAB,盒裝,適用於治療甲狀腺眼病 (不限甲狀腺眼病的疾病活性或持續時間)。,原料藥／非最終製劑,眼
適目達注射劑,TEPEZZA for injection,衛部菌疫輸字第001294號,菌 疫,凍晶注射劑,TEPROTUMUMAB,盒裝,適用於治療甲狀腺眼病 (不限甲狀腺眼病的疾病活性或持續時間)。,原料藥／非最終製劑,眼
鹽酸多佐胺,Dorzolamide Hydrochloride,衛部藥輸字第026845號,原料藥,原料藥結晶性粉末,,0.5公斤以上裝,降眼壓用藥。,原料藥／非最終製劑,眼
鹽酸多佐胺,Dorzolamide Hydrochloride,衛部藥輸字第026845號,原料藥,原料藥結晶性粉末,,0.5公斤以上裝,降眼壓用藥。,原料藥／非最終製劑,眼
鹽酸多佐胺,Dorzolamide Hydrochloride,衛部藥輸字第027552號,原料藥,（粉）,,0.5公斤以上裝,碳酸酐脢抑制劑，用於高眼壓和開角型青光眼患者，以降低眼內壓,原料藥／非最終製劑,眼；青光眼
鹽酸多佐胺,Dorzolamide Hydrochloride,衛部藥輸字第027237號,原料藥,（粉）,,0.5公斤以上裝,碳酸酐脢抑制劑，用於高眼壓和開角型青光眼患者，以降低眼內壓,原料藥／非最終製劑,眼；青光眼
鹽酸毛果芸香鹼,Pilocarpine Hydrochloride,衛部藥輸字第027070號,原料藥,（粉）,,0.5公斤以上裝,眼用膽生僉激性藥,原料藥／非最終製劑,眼；眼用
""" 瑞士 ""凱服樂錠（敵芬尼朵）","KPHADOL TABLETS ""SWISS"" (DIPHENIDOL)",衛署藥製字第019445號,製 劑,錠劑,DIPHENIDOL HYDROCHLORIDE (eq to DIFENIDOL HCL),罐裝;;盒裝;;瓶裝,因內耳障礙引起之眩暈（包括腦血管障礙及頭頸部外傷後遺症之眩暈）眼振,非眼科外用最終劑型,眼
""" 華盛頓""鼻可通膠囊","BICOTON CAPSULES ""W.P.""",衛署藥製字第026853號,製 劑,膠囊劑,CAFFEINE ANHYDROUS;;PHENYLEPHRINE HCL;;CARBINOXAMINE MALEATE,PTP 鋁箔盒裝;;塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""世達""安西諾隆錠","TRIAMCINOLONE TABLETS ""S.D.""",衛署藥製字第014287號,製 劑,錠劑,TRIAMCINOLONE,瓶裝,類風濕性關節炎、支氣管氣喘、過敏性疾患、皮膚疾患、炎症性眼疾患、僂麻質斯性疾患、紫斑病,非眼科外用最終劑型,眼
"""中國化學"" 優淨膜衣錠250毫克(塞普沙辛)","CIFLODAL F.C. TABLETS 250MG (CIPROFLOXACIN) ""C.C.P.C.""",衛署藥製字第039722號,製 劑,膜衣錠,CIPROFLOXACIN (HCL),鋁箔裝;;瓶裝,對CIPROFLOXACIN有感受性之細菌所引起之呼吸道感染、中耳炎、竇炎、眼感染、腎臟及泌尿道感染（包括淋病）、腹部感染（包括腹膜炎）、皮膚及軟組織感染、骨髓炎、關節感染、菌血症。成人和小孩：吸入性炭疽病（接觸後）。小孩：大腸桿菌所引起之複雜性泌尿道感染和腎盂腎炎(1-17歲)、綠膿桿菌有關之囊腫性纖維化產生急性肺部惡化的現象（5-17歲）,非眼科外用最終劑型,眼
"""中國化學"" 優淨膜衣錠500毫克(塞浦弗洒辛)","CIFLODAL F.F. TABLETS 500MG (CIPROFLOXACIN) ""C.C.P.C.""",衛署藥製字第038528號,製 劑,膜衣錠,CIPROFLOXACIN,鋁箔裝;;塑膠容器裝,對CIPROFLOXACIN有感受性之細菌所引起之呼吸道感染、中耳炎、竇炎、眼感染、腎臟及泌尿道感染（包括淋病）、腹部感染（包括腹膜炎）、皮膚及軟組織感染、骨髓炎、關節感染、菌血症。成人和小孩：吸入性炭疽病（接觸後）。小孩：大腸桿菌所引起之複雜性泌尿道感染和腎盂腎炎(1-17歲)、綠膿桿菌有關之囊腫性纖維化產生急性肺部惡化的現象（5-17歲）,非眼科外用最終劑型,眼
