商品名,英文品名,許可證字號,許可證持有廠商,是否有效,藥品分類,分類依據,是否中藥,劑型,規格,包裝,適應症完整原文,適應症摘要,推定用途分類,全部成分原文,主要成分,防腐劑成分，若有,是否含防腐劑,是否為複方,資料來源,備註
可氯松眼藥膏,"CHLORSON EYE OINTMENT ""OASIS""",衛署藥製字第022920號,綠洲化學工業有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼膏劑,CHLORAMPHENICOL;;HYDROCORTISONE ACETATE,管裝,急慢性結膜炎、角膜炎、麥粒腫、膿泡性結膜炎、邊緣性角膜炎、濾過性病毒引起之眼疾（如砂眼、角膜、結膜傳染症及泡疹）,結膜炎；角膜炎；麥粒腫；抗病毒,抗菌型,EACH GM CONTAINS: CHLORAMPHENICOL 10 10.000000 MG；EACH GM CONTAINS: HYDROCORTISONE ACETATE 5 5.000000 MG,Chloramphenicol；Hydrocortisone Acetate,,否,是,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/b8f14e2d-6c49-446d-aa5f-69b1ac963762?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/efb29853-67b9-42b2-82b4-ac25b0f5e07f_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
威爾眸點眼液 0.5%,VIGAMOX OPHTHALMIC SOLUTION 0.5%,衛署藥輸字第024011號,台灣諾華股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,MOXIFLOXACIN HYDROCHLORIDE,塑膠瓶裝,"1. 適用於治療患有對Moxifloxacin具感受性的致病菌所引起之細菌性結膜炎 (bacterial conjunctivitis)病人。 2. 適用於治療12歲以上患有對Moxifloxacin具感受性的致病菌所引起之瞼緣炎 (blepharitis)、淚囊炎 (dacryocystitis)、麥粒腫 (hordeolum)、瞼腺炎 (tarsadenitis)或角膜炎 (包括角膜潰瘍) (keratitis, including corneal ulcer)病人。 3. 適用於成人眼科手術的術前和術後預防感染。",結膜炎；角膜炎；角膜潰瘍；麥粒腫；術後發炎；抗菌,抗菌型,EACH ML CONTAINS： MOXIFLOXACIN HYDROCHLORIDE 5.450000 MG,Moxifloxacin,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛署藥輸字第024011號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/e0fc9ef1-2786-486a-bb88-1f5a05b8611b?c=2;https://mcp.fda.gov.tw/insert/lablefiles/bddb8799-f39a-4efa-8c4a-68b9f15b9043_3?c=2;https://mcp.fda.gov.tw/insert/lablefiles/bddb8799-f39a-4efa-8c4a-68b9f15b9043_6?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
得夏新點眼液,DEXA-GENTAMICIN EYE DROPS,衛署藥輸字第019906號,吉富貿易有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,DEXAMETHASONE SODIUM PHOSPHATE;;GENTAMICIN SULFATE,塑膠滴瓶裝,眼部之細菌性感染及發炎。,抗菌；消炎,抗菌型,EACH ML CONTAINS: DEXAMETHASONE SODIUM PHOSPHATE 1.0 1.000000 MG；EACH ML CONTAINS: GENTAMICIN SULFATE 5.0 5.000000 MG,Dexamethasone；Gentamicin,,否,是,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_df6b6978-1865-4190-9246-6ee3895a8f32?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/91f6d79e-9eb7-4bb6-bf70-55d8244b039a_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/91f6d79e-9eb7-4bb6-bf70-55d8244b039a_2?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
抗耐黴素眼藥膏,"GENTAMICIN OPHTHALMIC OINTMENT ""OASIS""",衛署藥製字第011838號,綠洲化學工業有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼膏劑,GENTAMICIN (AS SULFATE),軟管裝,眼瞼緣炎、結膜炎、角膜炎、虹彩毛樣體炎、麥粒腫、淚囊炎,結膜炎；角膜炎；麥粒腫,抗菌型,EACH GM CONTAINS: GENTAMICIN (AS SULFATE) 3 3.000000 MG,Gentamicin,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/9a230984-485d-4fdf-b20b-4446c8353367?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/c46b5fdf-d879-4e07-8bf2-bef1c914c917_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
抗耐黴素點眼液,"GENTAMICIN EYE DROPS ""OASIS""",衛署藥製字第012973號,綠洲化學工業有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,GENTAMICIN (AS SULFATE),瓶裝,眼瞼緣炎、結膜炎、角膜炎、虹彩毛樣體炎、麥粒腫、淚囊炎,結膜炎；角膜炎；麥粒腫,抗菌型,EACH ML CONTAINS: GENTAMICIN (AS SULFATE) 3 3.000000 MG,Gentamicin,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/ea408b9b-a991-48c3-9fee-b007df35e5bb?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/adcaebaf-5a69-43d3-b05f-f610adaaa9e4_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
施樂舒點眼液,CILOXAN STERILE OPHTHALMIC SOLUTION,衛署藥輸字第022372號,台灣諾華股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,CIPROFLOXACIN HCL,塑膠瓶裝,細菌性角膜潰瘍、細菌性結膜炎。,結膜炎；角膜潰瘍；抗菌,抗菌型,EACH ML CONTAINS: CIPROFLOXACIN HCL 3.500000 MG,Ofloxacin,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛署藥輸字第022372號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/9832edda-3b21-4da7-a133-cc4fbc56322f?c=2;https://mcp.fda.gov.tw/insert/lablefiles/dad69dc6-470b-411f-95dc-5ae8ebdb6b7f?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
樂福星眼藥水0.5%,Lefoxin Eye Drops 0.5%,衛部藥製字第061011號,麥迪森醫藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,LEVOFLOXACIN HEMIHYDRATE,LDPE塑膠瓶裝,外眼部細菌性感染症。,抗菌,抗菌型,Each ml contains: LEVOFLOXACIN HEMIHYDRATE (eq. to Levofloxacin.....5mg) 5.000000 MG,Ofloxacin,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛部藥製字第061011號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/ca871731-ae01-4ef8-8eb0-c21700fa70d7_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/46879784-51e2-4057-971b-2cdacc090624?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
欣克炎眼藥水,Xinclame Ophthalmic Solution,衛部藥製字第061845號,溫士頓醫藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,外用液劑,MOXIFLOXACIN HYDROCHLORIDE,LDPE塑膠瓶裝,治療下列微生物具感受性的菌株所引起的細菌性結膜炎。 好氧性革蘭氏陽性菌：Corynebacterium Species、Micrococcus Luteus、Staphylococcus Aureus、Staphylococcus Epidermidis、Staphylococcus Haemolyticus、Staphylococcus Hominis、Staphylococcus Warneri、Streptococcus Pneumoniae、Streptococcus Viridans Group。 好氧性革蘭氏陰性菌：Acinetobacter Lwoffii、Haemophilus Influenzae、Haemophilus、Parainfluenzae。 其他：Chlamydia Trachomatis。對此細菌有效性的研究少於10個感染數。,結膜炎；抗菌,抗菌型,Each mL contains： MOXIFLOXACIN HYDROCHLORIDE eq. Moxifloxacin 5.00 mg (DMF(64)3284) 5.450000 MG,Moxifloxacin,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛部藥製字第061845號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/2c49f5b2-3ce0-4a33-a0c5-2383090d7d01?c=2;https://mcp.fda.gov.tw/insert/lablefiles/6a0c4c75-e0df-4a3b-874f-27e3c13524ce?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
歐芙必妥眼藥水,OFLOVID OPHTHALMIC SOLUTION,衛署藥輸字第021354號,台灣參天製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,OFLOXACIN,塑膠瓶裝,外眼部細菌性感染症,抗菌,抗菌型,OFLOXACIN OFLOXACIN 3 3.000000 MG/ML,Ofloxacin,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_3967e344-eebf-4727-8a7d-408c627a6f09?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/954c8bf7-1c1a-485c-bd4e-ce3d4b2b417f_2?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
氯黴素點眼液,"CHLORAMPHENICOL EYE DROPS ""OASIS""",衛署藥製字第021191號,綠洲化學工業有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,CHLORAMPHENICOL,瓶裝,沙眼、葡萄球菌、鏈球菌、肺炎雙球菌、大腸桿菌等所引起之眼疾患,待人工確認,抗菌型,EACH ML CONTAINS: CHLORAMPHENICOL 5 5.000000 MG,Chloramphenicol,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_9fc1400c-4d68-4108-9a7a-df772d67f180?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
漸得明眼藥水 0.3% (硫酸紫菌素),GENDERMIN OPH. SOLUTION 0.3% (GENTAMICIN SULFATE),衛署藥製字第047117號,健喬信元醫藥生技股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,GENTAMICIN SULFATE,塑膠瓶裝,結膜炎、角膜炎、麥粒腫、瞼結膜炎、淚囊炎、眼瞼緣炎。,結膜炎；角膜炎；麥粒腫,抗菌型,EACH ML CONTAINS: GENTAMICIN SULFATE (POTENCY) 3.000000 MG,Gentamicin,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_1e4ecac7-cdf4-4d65-ae64-556b7a4147a6?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_cb2d78bd-fbff-4a2a-bf00-8dceaadce7a0?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/ebeeb89f-c131-441f-965f-dd9c9bfcbbc1_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
漸得明眼藥膏 3 毫克/公克(硫酸紫菌素),GENDERMIN OPHTHALMIC OINTMENT 3MG/GM (GENTAMICIN SULFATE),衛署藥製字第047124號,健喬信元醫藥生技股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼膏劑,GENTAMICIN (AS SULFATE),鋁管裝,結膜炎、眼瞼緣炎、角膜炎、淚囊炎、麥粒腫、虹彩毛樣體炎。,結膜炎；角膜炎；麥粒腫,抗菌型,EACH GM CONTAINS: GENTAMICIN (AS SULFATE) 3.000000 MG,Gentamicin,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_78a41c2b-c882-4ea9-a3e0-a440f1fa9662?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_62e6d1eb-7e35-4a01-9a86-3da1355b7a7f?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_b7190ddf-888d-4347-b2f6-d20adf16acf0?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/c319aa62-e7f6-4bdf-a503-467f183475c1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/1a518adf-ab88-4e01-a121-632d0c584e19_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/1a518adf-ab88-4e01-a121-632d0c584e19_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/1a518adf-ab88-4e01-a121-632d0c584e19_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/9942cc1e-c9d4-4d79-974b-d05b849f031b?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
百福眼藥水0.3%,BIOMICIN OPHTHALMIC SOLUTION 0.3%,衛署藥製字第042823號,溫士頓醫藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,TOBRAMYCIN,塑膠瓶裝,眼睛感染及眼附屬器官的感染，對於一般抗生素有抗性的細菌感染。,抗菌,抗菌型,EACH ML CONTAINS: TOBRAMYCIN 3 3.000000 MG,Tobramycin,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_eb22a320-1841-4195-af39-f8d1123daa0f?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_f0981fa9-9838-4ac9-902b-503cc72a242a?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_2a27cfdd-5c7c-43f1-8212-fc2416acb633?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/0d446bbd-a466-4f1a-ace8-9083f654bba5_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/0d446bbd-a466-4f1a-ace8-9083f654bba5_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/0d446bbd-a466-4f1a-ace8-9083f654bba5_2?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
百福眼藥膏,Biomicin Sterile Ophthalmic Ointment,衛署藥製字第049932號,溫士頓醫藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼膏劑,TOBRAMYCIN,積層管裝;;鋁管裝,眼瞼炎、淚囊炎、麥粒腫、結膜炎、角膜炎。,結膜炎；角膜炎；麥粒腫,抗菌型,Each gm contains： TOBRAMYCIN 3.000000 MG,Tobramycin,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_44ff8fad-cd18-433c-98c2-ed23953eef44?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/167fb7f9-564b-4ff3-a46c-ce05c9187660_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/167fb7f9-564b-4ff3-a46c-ce05c9187660_1?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
艾目明眼藥膏,OPTIGENT EYE OINTMENT,衛署藥輸字第024376號,德惠藥品有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼膏劑,GENTAMICIN,鋁軟管,結膜炎、眼瞼緣炎、角膜炎、淚囊炎、麥粒腫、虹彩毛樣體炎。,結膜炎；角膜炎；麥粒腫,抗菌型,EACH GRAM CONTAINS： GENTAMICIN 3.000000 MG,Gentamicin,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_07da10e3-0232-4356-a131-426237b82c29?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/3ae1fde3-6bc2-455d-834f-bbbb08bf8cac_1?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
茲泰新眼藥水（硫酸紫菌素）,"GENTOCIN OPHTHALMIC SOLUTION (GENTAMYCIN SULFATE) ""SHITEH""",衛署藥製字第023441號,西德有機化學藥品股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,GENTAMICIN (AS SULFATE),瓶裝,眼部感染、如結合膜炎、角膜炎及角膜結膜炎、角膜潰瘍、眼瞼炎、眼瞼結合膜炎、急性瞼板腺炎及淚囊炎,結膜炎；角膜炎；角膜潰瘍；抗菌,抗菌型,EACH ML CONTAINS: GENTAMICIN (AS SULFATE) (5MG) 3 MG,Gentamicin,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_84e92adb-ed17-4899-9d30-2e48afedd7c1?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/826c1325-3a72-4cd2-be68-59949fc0c6e6_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
視敏樂眼藥水,Semelo Ophthalmic Solution,衛署藥製字第050418號,太田藥品股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,眼用液劑,GENTAMICIN (AS SULFATE);;BETAMETHASONE SODIUM PHOSPHATE,塑膠瓶裝,結合膜炎、角膜炎、瞼炎、結合性角膜炎、鞏膜表面炎、淚囊炎、瞼腺炎、角膜潰瘍。,角膜炎；角膜潰瘍,抗菌型,Each ml contains： BETAMETHASONE SODIUM PHOSPHATE 1.000000 MG；Each ml contains： GENTAMICIN (AS SULFATE) 3.000000 MG,Betamethasone；Gentamicin,,否,是,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_94be21f4-0963-4916-a249-49fb6ae1cf6c?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
默菌殺點眼液,Micromox Eye Drops (Moxifloxacin Ophthalmic Solution USP 0.5% w/v),衛部藥輸字第028362號,吉富貿易有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,MOXIFLOXACIN HYDROCHLORIDE,LDPE塑膠瓶裝,治療下列微生物具感受性的菌株所引起的細菌性結膜炎。好氧性革蘭氏陽性菌：Corynebacterium species1、Micrococcus luteus1、Staphylococcus aureus、Stephylococcus epidermidis、Staphylococcus haemolyticus、Staphylococcus hominis、Staphylococcus warneri1、Streptococcus pneumoniae、Streptococcus viridans group。好氧性革蘭氏陰性菌：Acinetobacter lwoffii1、Haemophilus influenzae、Haemophilus parainfluenzae1。其他：Chlamydia trachomatis（1對此細菌有效性的研究少於10個感染數）,結膜炎；抗菌,抗菌型,Each mL contains: MOXIFLOXACIN HYDROCHLORIDE (equivalent to Moxifloxacin.....5mg) 5.450000 MG,Moxifloxacin,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_c491b626-32da-4706-9212-4e3cb09d26d2?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/f28d6203-6c81-4941-9a58-3e4ae474c89e?c=2;https://mcp.fda.gov.tw/insert/lablefiles/feaae963-d6ee-4b2e-b0d3-ade68bc124c9?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
黛珂莎點眼液,"Ducressa 1mg/ml +5mg/ml, eye drops, solution",衛部藥輸字第028371號,台灣參天製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,LEVOFLOXACIN HEMIHYDRATE;;DEXAMETHASONE SODIUM PHOSPHATE,LDPE塑膠瓶裝,適用於成人白內障手術後，預防和治療術後相關發炎，以及預防術後相關感染。,術後發炎；抗菌；消炎,抗菌型,Each 1mL contains: LEVOFLOXACIN HEMIHYDRATE (eq. to Levofloxacin......5.00 MG) 5.120000 MG；Each 1mL contains: DEXAMETHASONE SODIUM PHOSPHATE (eq. to Dexamethasone......1.00 MG) 1.320000 MG,Ofloxacin；Dexamethasone,,否,是,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛部藥輸字第028371號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/d8e7747f-1002-4080-a0c3-a0e1644af91d?c=2;https://mcp.fda.gov.tw/insert/lablefiles/9768dffc-c960-4f39-b1e6-34837c0173e8?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""應元"" 療敏眼藥水2%","Laimin Eye Drops 2% ""Y.Y.""",衛署藥製字第047622號,應元化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,CROMOLYN SODIUM (EQ TO SODIUM CROMOGLICATE)(EQ TO SODIUM CROMOGLYCATE),塑膠瓶裝,過敏性結膜炎。,過敏性結膜炎；結膜炎,抗過敏型,Each ml contains: CROMOLYN SODIUM (EQ TO SODIUM CROMOGLICATE)(EQ TO SODIUM CROMOGLYCATE) 20.000000 MG,Cromolyn sodium,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_e62b8b86-c389-4c54-bca0-a0372d581520?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/61c17e6f-556e-4d6c-b509-b5720baaf7be_3?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""杏輝""眸朗明眼藥水","Cromomin Eye Drops ""Sinphar""",衛署藥製字第057329號,杏輝藥品工業股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,CROMOLYN SODIUM (EQ TO SODIUM CROMOGLICATE)(EQ TO SODIUM CROMOGLYCATE),塑膠瓶裝,過敏性結膜炎。,過敏性結膜炎；結膜炎,抗過敏型,Each ml contains: CROMOLYN SODIUM (EQ TO SODIUM CROMOGLICATE)(EQ TO SODIUM CROMOGLYCATE) 20.000000 MG,Cromolyn sodium,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_88fc6f16-4b25-462d-8e5c-7818270f4cd5?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/2e9c3bde-c05e-4592-8f66-ad2eeab265db_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
“派頓”克樂敏眼藥水 2%,Comolyn Ophthalmic Solution 2%“Patron”,衛署藥製字第049351號,臺灣派頓化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,CROMOLYN SODIUM (EQ TO SODIUM CROMOGLICATE)(EQ TO SODIUM CROMOGLYCATE),塑膠瓶裝,過敏性結膜炎。,過敏性結膜炎；結膜炎,抗過敏型,Each ml contains： CROMOLYN SODIUM (EQ TO SODIUM CROMOGLICATE)(EQ TO SODIUM CROMOGLYCATE) 20.000000 MG,Cromolyn sodium,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_7a515929-8497-4eed-ad7c-f99a9b9b1b8f?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/06142b1d-dea7-4b4d-984c-aa43f418840d_2?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
“派頓”多蒂芬眼藥水 0.025%,Totifen Ophthalmic Solution 0.025% ”Patron”,衛署藥製字第048927號,臺灣派頓化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,KETOTIFEN FUMARATE,塑膠瓶裝,暫時預防因過敏性結膜炎引起之眼睛癢。,過敏性結膜炎；眼睛癢；結膜炎,抗過敏型,Each ml contains： KETOTIFEN FUMARATE (as equivalent to ketotifen...0.25mg) 0.345000 MG,Ketotifen,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_320e40ae-facb-4bc7-9bdb-af532676db11?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/6e2a6123-9613-48f8-b966-830ae7af4741_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/8accdffb-c91e-43a7-aabd-87b51ffc545e?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d1981d2b-cf04-4938-89a4-83f0ce71afe4?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
“麥迪森”麥敏眼藥水 2%,Cromo Eye Drops 2% (Cromolyn Sodium)“MEDICINE”,衛署藥製字第048900號,麥迪森醫藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,CROMOLYN SODIUM (EQ TO SODIUM CROMOGLICATE)(EQ TO SODIUM CROMOGLYCATE),塑膠瓶裝,過敏性結膜炎。,過敏性結膜炎；結膜炎,抗過敏型,Each ml Contains： CROMOLYN SODIUM (EQ TO SODIUM CROMOGLICATE)(EQ TO SODIUM CROMOGLYCATE) 20.000000 MG,Cromolyn sodium,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_7afcf67b-d6a8-4c34-8490-e09b25541e87?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_13cdc727-13b4-40af-a7b3-725b48856c7c?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_462a96d1-5a60-4821-99ca-4dc2ee2e8c26?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/85c4e2b1-8234-462d-9e1c-02fdb80f8b41_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/85c4e2b1-8234-462d-9e1c-02fdb80f8b41_7?c=2;https://mcp.fda.gov.tw/insert/lablefiles/4f6b3645-72e9-4fe6-8601-02e51c4c1b00?c=2;https://mcp.fda.gov.tw/insert/lablefiles/e181f176-3cdc-4fbc-b97f-f5cb9ed13c81?c=2;https://mcp.fda.gov.tw/insert/lablefiles/47cc66e8-2521-4e06-971f-59bca430294e?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
信妥單劑量點眼液2%,SINTAL SINGLE DOSE UNIT EYE DROPS 2%,衛署藥製字第039964號,麥迪森醫藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,CROMOLYN SODIUM (EQ TO SODIUM CROMOGLICATE)(EQ TO SODIUM CROMOGLYCATE),鋁箔袋盒裝;;塑膠瓶裝,過敏性結膜炎,過敏性結膜炎；結膜炎,抗過敏型,EACH ML CONTAINS : CROMOLYN SODIUM (EQ TO SODIUM CROMOGLICATE)(EQ TO SODIUM CROMOGLYCATE) 20.000000 MG,Cromolyn sodium,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛署藥製字第039964號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/91508ef9-9191-4f85-b0a8-ce02f47646d9?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
