ingredient_id,ingredient_inn,ingredient_zh,common_aliases,salt_forms,notes
ING0051,Indomethacin,,,INDOMETHACIN (eq to Indometacin),由官方主成分略述標準化；中文名待人工補齊
ING0052,Glycyrrhetic Acid (Eq To Glycyrrhetinic Acid),,,,由官方主成分略述標準化；中文名待人工補齊
ING0053,Hydrocortisone Acetate,,,,由官方主成分略述標準化；中文名待人工補齊
ING0054,Nicotine,,,,由官方主成分略述標準化；中文名待人工補齊
ING0055,Ketoprofen,,,,由官方主成分略述標準化；中文名待人工補齊
ING0056,Flurbiprofen,,,,由官方主成分略述標準化；中文名待人工補齊
ING0057,Dl-Alpha-Tocopherol Acetate,,,,由官方主成分略述標準化；中文名待人工補齊
ING0058,Estradiol,,,17BETA- ESTRADIOL,由官方主成分略述標準化；中文名待人工補齊
ING0059,Phellodendron Bark Extract,,,,由官方主成分略述標準化；中文名待人工補齊
ING0060,Piroxicam,,,,由官方主成分略述標準化；中文名待人工補齊
ING0061,Diclofenac,,,,由官方主成分略述標準化；中文名待人工補齊
ING0062,Scopolamine,,,,由官方主成分略述標準化；中文名待人工補齊
ING0063,Tocopherol (Acetate Alpha Dl- ),,,,由官方主成分略述標準化；中文名待人工補齊
ING0064,Lidocaine,,,,由官方主成分略述標準化；中文名待人工補齊
ING0065,Fentanyl,,,FENTANYL (EQ TO FENTANYL BASE),由官方主成分略述標準化；中文名待人工補齊
ING0066,Polyvinyl Acetate,,,,由官方主成分略述標準化；中文名待人工補齊
ING0067,Nitroglycerin,,,NITROGLYCERIN (IN LACTOSE),由官方主成分略述標準化；中文名待人工補齊
ING0068,Fluocinolone Acetonide,,,,由官方主成分略述標準化；中文名待人工補齊
ING0069,Triamcinolone Acetonide,,,,由官方主成分略述標準化；中文名待人工補齊
ING0070,Lactose Anhydrous,,,,由官方主成分略述標準化；中文名待人工補齊
ING0071,Triglycerides Medium Chain,,,,由官方主成分略述標準化；中文名待人工補齊
ING0072,Diphenhydramine Salicylate,,,,由官方主成分略述標準化；中文名待人工補齊
ING0073,Rosskastanien Extract,,,,由官方主成分略述標準化；中文名待人工補齊
ING0074,Monoglycol Salicylate,,,,由官方主成分略述標準化；中文名待人工補齊
ING0075,N-Nonanoyl Vanillylamide,,,,由官方主成分略述標準化；中文名待人工補齊
ING0076,Tocopherol Alpha Dl- (Eq To Dl-Alpha Tocopherol),,,,由官方主成分略述標準化；中文名待人工補齊
ING0077,Norelgestromin,,,,由官方主成分略述標準化；中文名待人工補齊
ING0078,Benzalkonium Chloride,,,,由官方主成分略述標準化；中文名待人工補齊
ING0079,Crotamiton,,,,由官方主成分略述標準化；中文名待人工補齊
ING0080,Isopropyl Methyl Phenol,,,,由官方主成分略述標準化；中文名待人工補齊
ING0081,Rotigotine,,,,由官方主成分略述標準化；中文名待人工補齊
ING0082,4-Hydroxy-3-Methoxybenzyl Nonylic Acid Amide,,,,由官方主成分略述標準化；中文名待人工補齊
ING0083,Rivastigmine,,,,由官方主成分略述標準化；中文名待人工補齊
ING0084,Granisetron,,,,由官方主成分略述標準化；中文名待人工補齊
ING0085,Buprenorphine,,,,由官方主成分略述標準化；中文名待人工補齊
ING0086,Oxybutynin,,,OXYBUTYNIN CHLORIDE (EQ TO OXIBUTININA HCL ),由官方主成分略述標準化；中文名待人工補齊
ING0087,Donepezil,,,DONEPEZIL HYDROCHLORIDE,由官方主成分略述標準化；中文名待人工補齊
