ingredient_id,ingredient_inn,ingredient_zh,indication_id,indication_standard,product_count,license_count,active_license_count,product_names,license_numbers,evidence_source,last_updated
ING0049,Tocopherol Acetate,,IND0003,肩膀酸痛,5,5,2,撒隆適布肌兒帕奇貼片;痛貼貼溫感貼片劑;痛貼貼貼片劑;脫酸寧Ａ藥布;速達酸痛貼布,衛署藥輸字第018861號;衛署藥輸字第019083號;衛署藥輸字第023545號;衛署藥輸字第024182號;衛署藥輸字第025000號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0049,Tocopherol Acetate,,IND0143,撞傷,2,2,1,痛貼貼溫感貼片劑;痛貼貼貼片劑,衛署藥輸字第018861號;衛署藥輸字第025000號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0049,Tocopherol Acetate,,IND0031,挫傷,2,2,1,痛貼貼溫感貼片劑;痛貼貼貼片劑,衛署藥輸字第018861號;衛署藥輸字第025000號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0007,Methyl salicylate,,IND0183,肩膀酸痛之鎮痛,1,1,0,貼布,衛署藥輸字第019143號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0051,Indomethacin,,IND0184,：變形性關節炎,2,2,0,克百疼貼片劑;愛敏絆貼片劑,衛署藥輸字第019697號;衛署藥輸字第021213號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0051,Indomethacin,,IND0185,疼痛,1,1,0,愛敏絆貼片劑,衛署藥輸字第019697號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0007,Methyl salicylate,,IND0186,節痛,1,1,0,日本三笠溫感藥膠布,衛署藥輸字第019788號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0003,Menthol,,IND0186,節痛,1,1,0,日本三笠溫感藥膠布,衛署藥輸字第019788號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0012,Diphenhydramine Hcl,,IND0186,節痛,1,1,0,日本三笠溫感藥膠布,衛署藥輸字第019788號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0005,Thymol,,IND0186,節痛,1,1,0,日本三笠溫感藥膠布,衛署藥輸字第019788號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0044,Nonylic-Vanillylamide,,IND0186,節痛,1,1,0,日本三笠溫感藥膠布,衛署藥輸字第019788號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0044,Nonylic-Vanillylamide,,IND0079,筋肉疲勞,1,1,0,日本三笠溫感藥膠布,衛署藥輸字第019788號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0044,Nonylic-Vanillylamide,,IND0162,跌打損傷,1,1,0,日本三笠溫感藥膠布,衛署藥輸字第019788號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
