license_no,chinese_name,english_name,indication_raw,indication_id,indication_standard,mapping_method,confidence,review_status,source_url,notes
衛署成製字第002303號,涼涼涼鎮痛藥布,"LIAN LIAN LIAN JENN TONG PLASTER ""SAN YANG""",肩膀酸痛、腰痛、神經痛、關節痛、筋骨疲勞、扭傷,IND0003,肩膀酸痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第002303號,涼涼涼鎮痛藥布,"LIAN LIAN LIAN JENN TONG PLASTER ""SAN YANG""",肩膀酸痛、腰痛、神經痛、關節痛、筋骨疲勞、扭傷,IND0027,腰痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第002303號,涼涼涼鎮痛藥布,"LIAN LIAN LIAN JENN TONG PLASTER ""SAN YANG""",肩膀酸痛、腰痛、神經痛、關節痛、筋骨疲勞、扭傷,IND0001,神經痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第002303號,涼涼涼鎮痛藥布,"LIAN LIAN LIAN JENN TONG PLASTER ""SAN YANG""",肩膀酸痛、腰痛、神經痛、關節痛、筋骨疲勞、扭傷,IND0026,關節痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第002303號,涼涼涼鎮痛藥布,"LIAN LIAN LIAN JENN TONG PLASTER ""SAN YANG""",肩膀酸痛、腰痛、神經痛、關節痛、筋骨疲勞、扭傷,IND0028,筋骨疲勞,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第002303號,涼涼涼鎮痛藥布,"LIAN LIAN LIAN JENN TONG PLASTER ""SAN YANG""",肩膀酸痛、腰痛、神經痛、關節痛、筋骨疲勞、扭傷,IND0015,扭傷,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003051號,白金膏,PATEX PAP,腰痛、筋肉痛、挫傷、風濕關節痛、關節痛、腫脹,IND0027,腰痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003051號,白金膏,PATEX PAP,腰痛、筋肉痛、挫傷、風濕關節痛、關節痛、腫脹,IND0029,筋肉痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003051號,白金膏,PATEX PAP,腰痛、筋肉痛、挫傷、風濕關節痛、關節痛、腫脹,IND0031,挫傷,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003051號,白金膏,PATEX PAP,腰痛、筋肉痛、挫傷、風濕關節痛、關節痛、腫脹,IND0032,風濕關節痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
